"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Tiergarten Süd","171","1 357","114","876"
"Regierungsviertel","98","1 069","67","721"
"Alexanderplatz","435","922","590","1 226"
"Brunnenstraße Süd","213","833","92","346"
"Moabit West","259","618","209","489"
"Moabit Ost","416","1 194","362","1 025"
"Osloer Straße","246","702","366","1 011"
"Brunnenstraße Nord","162","459","299","834"
"Parkviertel","244","589","236","557"
"Wedding Zentrum","570","1 085","526","972"
"Südliche Friedrichstadt","351","901","265","671"
"Tempelhofer Vorstadt","397","652","352","568"
"Nördliche Luisenstadt","168","752","208","923"
"Südliche Luisenstadt","423","1 621","767","2 901"
"Karl-Marx-Allee Nord","23","103","27","120"
"Karl-Marx-Allee Süd","167","728","219","935"
"Frankfurter Allee Nord","50","184","64","232"
"Frankfurter Allee Süd FK","256","554","468","990"
"Buch","31","238","33","244"
"Blankenfelde/Niederschönhausen","11","43","15","58"
"Buchholz","16","95","8","47"
"Karow","4","21","6","32"
"Blankenburg/Heinersdorf","16","113","14","99"
"Pankow Süd","24","75","27","83"
"Schönholz/Wilhelmsruh/Rosenthal","20","117","10","58"
"Pankow Zentrum","35","108","29","87"
"Weißensee","54","164","44","131"
"Weißensee Ost","18","120","32","211"
"Prenzlauer Berg Nordwest","85","360","69","285"
"Prenzlauer Berg Nord","33","128","52","199"
"Helmholtzplatz","29","137","20","92"
"Prenzlauer Berg Ost","51","210","68","274"
"Prenzlauer Berg Südwest","34","140","45","181"
"Prenzlauer Berg Süd","53","172","47","151"
"Charlottenburg Nord","159","879","156","845"
"Heerstraße","31","248","22","174"
"Westend","38","145","23","86"
"Schloß Charlottenburg","44","190","63","269"
"Mierendorffplatz","111","780","96","658"
"Otto-Suhr-Allee","112","440","141","547"
"Neue Kantstraße","80","349","135","582"
"Kantstraße","118","577","165","796"
"Kurfürstendamm","178","1 222","197","1 351"
"Halensee","26","183","30","208"
"Grunewald","5","28","13","71"
"Schmargendorf","10","72","8","58"
"Wiesbadener Straße","9","50","2","11"
"Düsseldorfer Straße","54","184","52","175"
"Barstraße","14","104","20","147"
"Volkspark Wilmersdorf","63","195","50","152"
"Forst Grunewald",,,"2",
"Hakenfelde","28","124","40","176"
"Falkenhagener Feld","54","138","46","117"
"Spandau Mitte","206","627","223","662"
"Brunsbütteler Damm","11","48","21","91"
"Heerstraße Nord","29","109","34","127"
