"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Tiergarten Süd","118","937","124","953"
"Regierungsviertel","142","1 549","128","1 377"
"Alexanderplatz","304","644","333","692"
"Brunnenstraße Süd","66","258","68","256"
"Moabit West","199","475","231","540"
"Moabit Ost","204","586","181","513"
"Osloer Straße","267","762","253","699"
"Brunnenstraße Nord","191","541","200","558"
"Parkviertel","318","767","269","635"
"Wedding Zentrum","384","731","382","706"
"Südliche Friedrichstadt","263","675","243","615"
"Tempelhofer Vorstadt","241","396","282","455"
"Nördliche Luisenstadt","126","564","115","510"
"Südliche Luisenstadt","101","387","90","340"
"Karl-Marx-Allee Nord","55","247","66","294"
"Karl-Marx-Allee Süd","105","458","107","457"
"Frankfurter Allee Nord","80","295","77","279"
"Frankfurter Allee Süd FK","159","344","156","330"
"Buch","48","368","66","487"
"Blankenfelde/Niederschönhausen","54","213","80","308"
"Buchholz","38","226","36","212"
"Karow","32","171","40","215"
"Blankenburg/Heinersdorf","21","149","38","269"
"Pankow Süd","67","210","87","268"
"Schönholz/Wilhelmsruh/Rosenthal","26","152","38","221"
"Pankow Zentrum","83","256","104","312"
"Weißensee","99","301","127","378"
"Weißensee Ost","50","333","47","311"
"Prenzlauer Berg Nordwest","83","351","59","243"
"Prenzlauer Berg Nord","60","232","65","249"
"Helmholtzplatz","52","245","44","203"
"Prenzlauer Berg Ost","79","325","72","290"
"Prenzlauer Berg Südwest","71","293","56","226"
"Prenzlauer Berg Süd","81","263","76","244"
"Charlottenburg Nord","129","713","154","834"
"Heerstraße","36","288","45","357"
"Westend","117","447","116","435"
"Schloß Charlottenburg","90","389","92","393"
"Mierendorffplatz","61","429","70","480"
"Otto-Suhr-Allee","128","502","127","493"
"Neue Kantstraße","86","375","108","466"
"Kantstraße","112","547","98","473"
"Kurfürstendamm","159","1 092","183","1 255"
"Halensee","62","437","71","492"
"Grunewald","58","324","68","373"
"Schmargendorf","41","297","33","237"
"Wiesbadener Straße","34","189","43","238"
"Düsseldorfer Straße","117","399","109","366"
"Barstraße","43","319","57","420"
"Volkspark Wilmersdorf","110","340","95","290"
"Forst Grunewald","4",,"5",
"Hakenfelde","86","379","76","335"
"Falkenhagener Feld","181","464","150","382"
"Spandau Mitte","258","785","243","721"
"Brunsbütteler Damm","61","264","59","255"
"Heerstraße Nord","157","588","159","594"
"Wilhelmstadt","177","522","217","632"
"Haselhorst","70","508","64","443"
"Siemensstadt","63","542","67","559"
"Gatow/Kladow","25","141","32","176"
"Schloßstraße","51","238","71","328"
"Albrechtstraße","161","314","145","280"
"Lankwitz","161","389","138","330"
"Ostpreußendamm","68","196","97","277"
"Teltower Damm","86","263","92","281"
"Drakestraße","106","232","108","232"
"Zehlendorf Südwest","83","325","77","301"
"Zehlendorf Nord","120","289","118","284"
"Schöneberg Nord","239","507","243","518"
"Schöneberg Süd","162","341","177","371"
"Friedenau","165","375","115","259"
"Tempelhof","351","595","299","498"
"Mariendorf","150","301","178","356"
"Marienfelde","98","322","109","357"
"Lichtenrade","114","231","135","272"
"Schillerpromenade","252","815","208","659"
"Neuköllner Mitte/Zentrum","288","781","248","657"
"Reuterstraße","163","420","173","435"
"Rixdorf","221","569","201","509"
"Köllnische Heide","121","821","132","878"
"Britz","168","415","199","484"
"Buckow","107","388","69","248"
"Gropiusstadt","131","363","115","316"
"Buckow Nord","34","366","38","406"
"Rudow","90","215","104","247"
"Alt-Treptow","35","320","33","297"
"Plänterwald","21","195","25","231"
"Baumschulenweg","60","348","59","339"
"Johannisthal","52","284","61","331"
"Oberschöneweide","78","407","99","502"
"Niederschöneweide","48","459","44","414"
"Adlershof","48","312","57","365"
"Kölln Vorstadt/Spindlersf","30","305","41","410"
"Altglienicke","73","286","73","282"
"Bohnsdorf","29","244","30","249"
"Grünau","11","204","12","214"
"Schmöckwitz/Karolinenhof","3","74","12","298"
"Köpenick Süd","20","128","31","199"
"Allende-Viertel","26","426","14","229"
"Altstadt Kietz","21","306","24","346"
"Müggelheim","13","200","16","245"
"Friedrichshagen","28","160","36","206"
"Rahnsdorf/Hessenwinkel","8","89","23","257"
"Dammvorstadt","21","223","37","389"
"Köpenick Nord","20","163","31","253"
"Marzahn Nord","104","459","115","501"
"Marzahn Mitte","204","451","184","403"
"Marzahn Süd","91","252","125","342"
"Hellersdorf Nord","175","534","194","583"
"Hellersdorf Ost","101","547","80","424"
"Hellersdorf Süd","95","392","86","352"
"Biesdorf","55","219","77","302"
"Kaulsdorf","39","209","41","220"
"Mahlsdorf","49","182","55","203"
"Malchow/Warten-/Falkenberg","20","477","12","282"
"Neu-Hohenschönhausen Nord","93","338","81","293"
"Neu-Hohenschönhausen Süd","81","313","64","248"
"Alt-Hohenschönhausen Nord","42","312","48","356"
"Alt-Hohenschönhausen Süd","74","252","93","316"
"Fennpfuhl","90","284","78","244"
"Alt-Lichtenberg","119","495","109","437"
"Frankfurter Allee Süd","16","166","31","309"
"Neu-Lichtenberg","95","324","68","226"
"Friedrichsfelde Nord","41","308","50","370"
"Friedrichsfelde Süd","54","224","61","248"
"Rummelsburger Bucht","7","215","8","241"
"Karlshorst","41","182","44","189"
"Ost 1","169","659","166","639"
"Ost 2","128","502","130","503"
"West 1","111","763","89","615"
"West 4","169","676","166","653"
"West 5","61","597","53","515"
"West 2","64","272","48","202"
"Nord 1","72","220","49","149"
"Nord 2","115","394","130","437"
"MV 1","199","562","219","602"
"MV 2","32","391","39","459"
"West 3","59","369","52","325"
