"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Tiergarten Süd","5 096","40 444","5 494","42 229"
"Regierungsviertel","6 625","72 270","6 987","75 145"
"Alexanderplatz","19 211","40 707","19 097","39 673"
"Brunnenstraße Süd","4 015","15 704","4 368","16 446"
"Moabit West","7 343","17 530","6 620","15 479"
"Moabit Ost","6 128","17 594","7 021","19 882"
"Osloer Straße","7 889","22 509","7 870","21 743"
"Brunnenstraße Nord","6 336","17 954","6 818","19 027"
"Parkviertel","6 870","16 576","6 832","16 131"
"Wedding Zentrum","9 527","18 134","9 348","17 275"
"Südliche Friedrichstadt","7 779","19 970","7 957","20 140"
"Tempelhofer Vorstadt","10 688","17 545","10 478","16 913"
"Nördliche Luisenstadt","4 951","22 164","5 543","24 585"
"Südliche Luisenstadt","4 379","16 778","5 815","21 996"
"Karl-Marx-Allee Nord","2 693","12 098","2 453","10 912"
"Karl-Marx-Allee Süd","5 569","24 275","5 551","23 710"
"Frankfurter Allee Nord","3 580","13 180","3 817","13 830"
"Frankfurter Allee Süd FK","8 080","17 490","8 693","18 394"
"Buch","1 791","13 737","1 586","11 707"
"Blankenfelde/Niederschönhausen","1 708","6 746","1 795","6 906"
"Buchholz","1 013","6 036","1 012","5 956"
"Karow"," 868","4 643"," 910","4 886"
"Blankenburg/Heinersdorf","1 597","11 305","1 490","10 537"
"Pankow Süd","2 471","7 762","2 386","7 349"
"Schönholz/Wilhelmsruh/Rosenthal","1 209","7 058","1 043","6 078"
"Pankow Zentrum","3 617","11 147","3 711","11 135"
"Weißensee","3 317","10 068","3 284","9 770"
"Weißensee Ost","1 376","9 171","1 420","9 383"
"Prenzlauer Berg Nordwest","3 396","14 377","3 146","12 972"
"Prenzlauer Berg Nord","3 239","12 549","3 208","12 297"
"Helmholtzplatz","2 395","11 295","2 128","9 822"
"Prenzlauer Berg Ost","3 743","15 408","3 974","16 020"
"Prenzlauer Berg Südwest","3 678","15 175","3 717","14 983"
"Prenzlauer Berg Süd","2 762","8 965","3 012","9 672"
"Charlottenburg Nord","2 605","14 402","2 730","14 784"
"Heerstraße","1 446","11 569","1 425","11 298"
"Westend","3 829","14 625","3 977","14 928"
"Schloß Charlottenburg","2 435","10 519","2 435","10 393"
"Mierendorffplatz","1 990","13 986","1 874","12 850"
"Otto-Suhr-Allee","4 836","18 982","5 000","19 392"
"Neue Kantstraße","2 602","11 347","2 985","12 878"
"Kantstraße","5 109","24 965","5 035","24 299"
"Kurfürstendamm","8 653","59 422","8 737","59 896"
"Halensee","1 965","13 842","2 114","14 656"
"Grunewald","1 576","8 804","1 667","9 149"
"Schmargendorf","1 324","9 585","1 244","8 945"
"Wiesbadener Straße","1 160","6 435","1 175","6 503"
"Düsseldorfer Straße","3 831","13 064","3 855","12 958"
"Barstraße","1 643","12 178","1 726","12 719"
"Volkspark Wilmersdorf","3 519","10 876","3 353","10 223"
"Forst Grunewald"," 138",," 147",
"Hakenfelde","1 996","8 807","2 034","8 957"
"Falkenhagener Feld","3 247","8 323","3 041","7 754"
"Spandau Mitte","6 065","18 457","6 492","19 260"
"Brunsbütteler Damm","1 716","7 413","1 829","7 912"
"Heerstraße Nord","3 058","11 459","3 002","11 210"
"Wilhelmstadt","5 122","15 114","5 832","16 972"
"Haselhorst","2 340","16 997","2 169","15 028"
"Siemensstadt","1 654","14 229","1 655","13 803"
"Gatow/Kladow"," 910","5 122","1 005","5 538"
"Schloßstraße","4 250","19 860","4 723","21 852 "
"Albrechtstraße","3 506","6 829","3 292","6 359"
"Lankwitz","2 864","6 926","3 117","7 461 "
"Ostpreußendamm","2 440","7 040","2 571","7 351 "
"Teltower Damm","2 438","7 459","2 562","7 817 "
"Drakestraße","3 317","7 258","3 494","7 512 "
"Zehlendorf Südwest","2 222","8 710","2 367","9 265 "
"Zehlendorf Nord","3 815","9 187","3 931","9 470 "
"Schöneberg Nord","8 546","18 142","9 376","19 973"
"Schöneberg Süd","6 165","12 972","6 281","13 172"
"Friedenau","4 212","9 572","5 092","11 469"
