"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Tiergarten Süd................... "," 1 032"," 8 190","  974"," 7 487"
"Regierungsviertel.............. ","  870"," 9 491","  862"," 9 271"
"Alexanderplatz.................. "," 3 108"," 6 586"," 3 029"," 6 293"
"Brunnenstraße Süd........... ","  752"," 2 941"," 1 003"," 3 776"
"Moabit West..................... "," 1 403"," 3 349"," 1 342"," 3 138"
"Moabit Ost........................ "," 1 212"," 3 480"," 1 188"," 3 364"
"Osloer Straße.................... "," 1 699"," 4 848"," 1 674"," 4 625"
"Brunnenstraße Nord......... "," 1 532"," 4 341"," 1 597"," 4 457"
"Parkviertel......................... "," 1 794"," 4 329"," 1 722"," 4 066"
"Wedding Zentrum............. "," 2 556"," 4 865"," 2 388"," 4 413"
"Südliche Friedrichstadt......... "," 1 784"," 4 580"," 1 703"," 4 311"
"Tempelhofer Vorstadt.......... "," 2 271"," 3 728"," 2 051"," 3 311"
"Nördliche Luisenstadt........... "," 1 115"," 4 991"," 1 202"," 5 331"
"Südliche Luisenstadt............. ","  963"," 3 690"," 1 239"," 4 687"
"Karl-Marx-Allee Nord............ ","  625"," 2 808","  634"," 2 820"
"Karl-Marx-Allee Süd.............. "," 1 040"," 4 533"," 1 172"," 5 006"
"Frankfurter Allee Nord......... ","  824"," 3 034","  862"," 3 123"
"Frankfurter Allee Süd FK....... "," 2 086"," 4 515"," 2 148"," 4 545"
"Buch...................................................... ","  323"," 2 477","  308"," 2 274"
"Blankenfelde/Niederschönhausen....... ","  337"," 1 331","  386"," 1 485"
"Buchholz................................................ ","  182"," 1 084","  179"," 1 054"
"Karow.................................................... ","  151","  808","  206"," 1 106"
"Blankenburg/Heinersdorf..................... ","  161"," 1 140","  197"," 1 393"
"Pankow Süd........................................... ","  616"," 1 935","  613"," 1 888"
"Schönholz/Wilhelmsruh/Rosenthal............ ","  229"," 1 337","  193"," 1 125"
"Pankow Zentrum................................... ","  811"," 2 499","  776"," 2 329"
"Weißensee............................................ ","  838"," 2 544","  973"," 2 895"
"Weißensee Ost...................................... ","  334"," 2 226","  334"," 2 207"
"Prenzlauer Berg Nordwest.................... ","  766"," 3 243","  683"," 2 816"
"Prenzlauer Berg Nord............................ ","  582"," 2 255","  595"," 2 281"
"Helmholtzplatz...................................... ","  614"," 2 896","  590"," 2 723"
"Prenzlauer Berg Ost.............................. ","  714"," 2 939","  619"," 2 495"
"Prenzlauer Berg Südwest...................... ","  996"," 4 109","  907"," 3 656"
"Prenzlauer Berg Süd.............................. ","  672"," 2 181","  686"," 2 203"
"Charlottenburg Nord........ ","  740"," 4 091","  710"," 3 845"
"Heerstraße........................ ","  353"," 2 824","  273"," 2 164"
"Westend............................ ","  662"," 2 529","  587"," 2 203"
"Schloß Charlottenburg...... ","  616"," 2 661","  633"," 2 702"
"Mierendorffplatz............... ","  413"," 2 903","  466"," 3 195"
"Otto-Suhr-Allee................. ","  952"," 3 737","  965"," 3 743"
"Neue Kantstraße............... ","  560"," 2 442","  723"," 3 119"
"Kantstraße......................... ","  691"," 3 376","  695"," 3 354"
"Kurfürstendamm............... "," 1 685"," 11 571"," 1 517"," 10 400"
"Halensee........................... ","  393"," 2 768","  433"," 3 002"
"Grunewald........................ ","  391"," 2 184","  414"," 2 272"
"Schmargendorf................. ","  255"," 1 846","  266"," 1 913"
"Wiesbadener Straße......... ","  224"," 1 243","  293"," 1 622"
"Düsseldorfer Straße.......... ","  741"," 2 527","  778"," 2 615"
"Barstraße.......................... ","  302"," 2 239","  378"," 2 786"
"Volkspark Wilmersdorf..... ","  712"," 2 201","  667"," 2 034"
"Forst Grunewald............... ","  21 ",,"  27",
"Hakenfelde..................... ","  651"," 2 873","  704"," 3 100"
"Falkenhagener Feld........ "," 1 166"," 2 989"," 1 135"," 2 894"
"Spandau Mitte................ "," 1 607"," 4 890"," 1 630"," 4 836"
"Brunsbütteler Damm..... ","  395"," 1 706","  417"," 1 804"
"Heerstraße Nord............ "," 1 013"," 3 796"," 1 031"," 3 850"
"Wilhelmstadt.................. "," 1 191"," 3 515"," 1 248"," 3 632"
"Haselhorst...................... ","  575"," 4 177","  551"," 3 818"
"Siemensstadt.................. ","  405"," 3 484","  426"," 3 553"
"Gatow/Kladow............... ","  158","  889","  163","  898"
"Schloßstraße........................ ","  529"," 2 472","  586"," 2 711"
"Albrechtstraße..................... ","  832"," 1 621","  879"," 1 698"
"Lankwitz............................... ","  748"," 1 809","  784"," 1 877"
"Ostpreußendamm................ ","  482"," 1 391","  549"," 1 570"
"Teltower Damm................... ","  445"," 1 361","  475"," 1 449"
"Drakestraße......................... ","  637"," 1 394","  635"," 1 365"
"Zehlendorf Südwest............. ","  380"," 1 489","  422"," 1 652"
"Zehlendorf Nord.................. ","  701"," 1 688","  610"," 1 470"
"Schöneberg Nord................. "," 1 921"," 4 078"," 1 976"," 4 209"
"Schöneberg Süd................... "," 1 297"," 2 729"," 1 406"," 2 949"
"Friedenau............................. ","  851"," 1 934","  751"," 1 692"
"Tempelhof............................ "," 1 680"," 2 850"," 1 647"," 2 743"
"Mariendorf........................... "," 1 006"," 2 019"," 1 143"," 2 286"
"Marienfelde.......................... ","  619"," 2 034","  629"," 2 059"
"Lichtenrade.......................... ","  745"," 1 507","  754"," 1 517"
"Schillerpromenade................. "," 1 965"," 6 354"," 1 630"," 5 164"
"Neuköllner Mitte/Zentrum..... "," 2 164"," 5 865"," 2 048"," 5 427"
"Reuterstraße........................... "," 1 573"," 4 051"," 1 285"," 3 233"
"Rixdorf.................................... "," 1 542"," 3 967"," 1 531"," 3 873"
"Köllnische Heide..................... ","  631"," 4 281","  672"," 4 468"
"Britz........................................ "," 1 079"," 2 664"," 1 188"," 2 891"
"Buckow................................... ","  499"," 1 807","  455"," 1 634"
"Gropiusstadt........................... "," 1 070"," 2 968","  834"," 2 294"
"Buckow Nord.......................... ","  176"," 1 893","  216"," 2 306"
"Rudow.................................... ","  543"," 1 295","  570"," 1 353"
"Alt-Treptow.............................. ","  376"," 3 441","  343"," 3 091"
"Plänterwald.............................. ","  243"," 2 253","  241"," 2 224"
"Baumschulenweg ","  346"," 2 008","  308"," 1 767"
"Johannisthal............................. ","  245"," 1 337","  256"," 1 389"
"Oberschöneweide.................... ","  636"," 3 319","  720"," 3 652"
"Niederschöneweide................. ","  320"," 3 062","  279"," 2 624"
"Adlershof.................................. ","  345"," 2 242","  291"," 1 865"
"Kölln. Vorstadt/Spindlersf........ ","  265"," 2 692","  316"," 3 158"
"Altglienicke............................... ","  311"," 1 217","  332"," 1 283"
"Bohnsdorf................................ ","  134"," 1 125","  138"," 1 144"
"Grünau..................................... ","  84"," 1 556","  54","  964"
"Schmöckwitz/Karolinenhof...... ","  24","  591","  43"," 1 067"
"Köpenick Süd............................ ","  174"," 1 114","  186"," 1 196"
"Allende-Viertel......................... ","  100"," 1 638","  97"," 1 585"
"Altstadt Kietz............................ ","  173"," 2 519","  199"," 2 867"
"Müggelheim............................. ","  43","  661","  45","  688"
"Friedrichshagen....................... ","  173","  990","  176"," 1 008"
"Rahnsdorf/Hessenwinkel......... ","  56","  625","  75","  837"
"Dammvorstadt......................... ","  244"," 2 589","  322"," 3 381"
"Köpenick Nord......................... ","  118","  960","  129"," 1 051"
"Marzahn Nord........................... ","  811"," 3 579","  780"," 3 401"
