"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Tiergarten Süd","586","4 651","522","4 012 "
"Regierungsviertel","474","5 171","480","5 162 "
"Alexanderplatz","1 541","3 265","1 442","2 996 "
"Brunnenstraße Süd","254","993","226","851 "
"Moabit West","629","1 502","597","1 396 "
"Moabit Ost","549","1 576","496","1 405 "
"Osloer Straße","785","2 240","814","2 249 "
"Brunnenstraße Nord","675","1 913","667","1 861 "
"Parkviertel","783","1 889","712","1 681 "
"Wedding Zentrum","1 210","2 303","1 156","2 136 "
"Südliche Friedrichstadt","723","1 856","693","1 754"
"Tempelhofer Vorstadt","932","1 530","869","1 403"
"Nördliche Luisenstadt","504","2 256","556","2 466"
"Südliche Luisenstadt","395","1 513","562","2 126"
"Karl-Marx-Allee Nord","235","1 056","214","952"
"Karl-Marx-Allee Süd","471","2 053","492","2 101"
"Frankfurter Allee Nord","265","976","298","1 080"
"Frankfurter Allee Süd FK","865","1 872","897","1 898"
"Buch","154","1 181","119","878"
"Blankenfelde/Niederschönhausen","136","537","126","485"
"Buchholz","71","423","75","441"
"Karow","44","235","106","569"
"Blankenburg/Heinersdorf","74","524","66","467"
"Pankow Süd","204","641","226","696"
"Schönholz/Wilhelmsruh/Rosenthal","79","461","60","350"
"Pankow Zentrum","212","653","221","663"
"Weißensee","308","935","278","827"
"Weißensee Ost","103","687","146","965"
"Prenzlauer Berg Nordwest","228","965","208","858"
"Prenzlauer Berg Nord","159","616","202","774"
"Helmholtzplatz","189","891","148","683"
"Prenzlauer Berg Ost","240","988","243","980"
"Prenzlauer Berg Südwest","344","1 419","325","1 310"
"Prenzlauer Berg Süd","166","539","154","495"
"Charlottenburg Nord","278","1 537","298","1 614"
"Heerstraße","213","1 704","127","1 007"
"Westend","207","791","192","721"
"Schloß Charlottenburg","243","1 050","205","875"
"Mierendorffplatz","165","1 160","146","1 001"
"Otto-Suhr-Allee","421","1 652","385","1 493"
"Neue Kantstraße","164","715","247","1 066"
"Kantstraße","251","1 226","295","1 424"
"Kurfürstendamm","1 083","7 437","919","6 300"
"Halensee","137","965","135","936"
"Grunewald","98","547","96","527"
"Schmargendorf","82","594","72","518"
"Wiesbadener Straße","64","355","83","459"
"Düsseldorfer Straße","241","822","258","867"
"Barstraße","110","815","116","855"
"Volkspark Wilmersdorf","252","779","227","692"
"Forst Grunewald","10",,"15",
"Hakenfelde","225","993","172","757"
"Falkenhagener Feld","432","1 107","445","1 135"
"Spandau Mitte","692","2 106","758","2 249"
"Brunsbütteler Damm","172","743","167","722"
"Heerstraße Nord","399","1 495","377","1 408"
"Wilhelmstadt","472","1 393","478","1 391"
"Haselhorst","165","1 199","156","1 081"
"Siemensstadt","168","1 445","158","1 318"
"Gatow/Kladow","76","428","70","386"
"Schloßstraße","217","1 014","205","948"
"Albrechtstraße","258","503","263","508"
"Lankwitz","268","648","311","744"
"Ostpreußendamm","213","615","232","663"
