"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Tiergarten Süd.................. ","  46","  365","  60","  461"
"Regierungsviertel.............. ","  29","  316","  25","  269"
"Alexanderplatz.................. ","  136","  288","  149","  310"
"Brunnenstraße Süd........... ","  25","  98","  14","  53"
"Moabit West..................... ","  51","  122","  47","  110"
"Moabit Ost........................ ","  45","  129","  37","  105"
"Osloer Straße.................... ","  46","  131","  64","  177"
"Brunnenstraße Nord......... ","  71","  201","  58","  162"
"Parkviertel........................ ","  48","  116","  38","  90"
"Wedding Zentrum............. ","  104","  198","  76","  140"
"Südliche Friedrichstadt......... ","  71","  182","  76","  192"
"Tempelhofer Vorstadt.......... ","  88","  144","  81","  131"
"Nördliche Luisenstadt........... ","  70","  313","  108","  479"
"Südliche Luisenstadt............. ","  82","  314","  169","  639"
"Karl-Marx-Allee Nord........... ","  34","  153","  18","  80"
"Karl-Marx-Allee Süd.............. ","  57","  248","  62","  265"
"Frankfurter Allee Nord......... ","  16","  59","  19","  69"
"Frankfurter Allee Süd FK....... ","  80","  173","  80","  169"
"Buch..................................................... ","  6","  46","  5","  37"
"Blankenfelde/Niederschönhausen....... ","  4","  16","  4","  15"
"Buchholz............................................... ","  3","  18","  2","  12"
"Karow................................................... ","  1","  5","  2","  11"
"Blankenburg/Heinersdorf..................... ","  1","  7","  1","  7"
"Pankow Süd.......................................... ","  9","  28","  9","  28"
"Schönholz/Wilhelmsruh/Rosenthal............ ","  10","  58","  8","  47"
"Pankow Zentrum.................................. ","  11","  34","  11","  33"
"Weißensee........................................... ","  15","  46","  9","  27"
"Weißensee Ost..................................... ","  8","  53","  8","  53"
"Prenzlauer Berg Nordwest.................... ","  32","  135","  31","  128"
"Prenzlauer Berg Nord........................... ","  10","  39","  6","  23"
"Helmholtzplatz..................................... ","  6","  28","  4","  18"
"Prenzlauer Berg Ost.............................. ","  28","  115","  21","  85"
"Prenzlauer Berg Südwest...................... ","  12","  50","  12","  48"
"Prenzlauer Berg Süd............................. ","  6","  19","  9","  29"
"Charlottenburg Nord........ ","  14","  77","  16","  87"
"Heerstraße........................ ","  9","  72","  8","  63"
"Westend........................... ","  12","  46","  10","  38"
"Schloß Charlottenburg...... ","  12","  52","  21","  90"
"Mierendorffplatz.............. ","  12","  84","  22","  151"
"Otto-Suhr-Allee................. ","  15","  59","  24","  93"
"Neue Kantstraße............... ","  23","  100","  17","  73"
"Kantstraße........................ ","  23","  112","  28","  135"
"Kurfürstendamm.............. ","  59","  405","  46","  315"
"Halensee........................... ","  8","  56","  8","  55"
"Grunewald........................ ","  5","  28","  6","  33"
"Schmargendorf................. ","  1","  7","  5","  36"
"Wiesbadener Straße......... ","  4","  22","  4","  22"
"Düsseldorfer Straße.......... ","  18","  61","  15","  50"
"Barstraße.......................... ","  10","  74","  14","  103"
"Volkspark Wilmersdorf..... ","  23","  71","  13","  40"
"Forst Grunewald............... ",,"-","  1",
"Hakenfelde..................... ","  3","  13","  8","  35"
"Falkenhagener Feld........ ","  14","  36","  21","  54"
"Spandau Mitte................ ","  52","  158","  46","  136"
"Brunsbütteler Damm..... ","  5","  22","  7","  30"
"Heerstraße Nord............ ","  20","  75","  15","  56"
"Wilhelmstadt.................. ","  25","  74","  21","  61"
"Haselhorst...................... ","  16","  116","  8","  55"
"Siemensstadt.................. ","  7","  60","  11","  92"
"Gatow/Kladow............... ","  1","  6","  1","  6"
"Schloßstraße........................ ","  28","  131","  32","  148"
"Albrechtstraße..................... ","  20","  39","  22","  42"
"Lankwitz............................... ","  15","  36","  14","  34"
"Ostpreußendamm................ ","  7","  20","  11","  31"
"Teltower Damm................... ","  7","  21","  14","  43"
"Drakestraße......................... ","  4","  9","  7","  15"
"Zehlendorf Südwest............. ","  7","  27","  11","  43"
"Zehlendorf Nord.................. ","  22","  53","  11","  26"
"Schöneberg Nord................. ","  98","  208","  122","  260"
"Schöneberg Süd................... ","  35","  74","  49","  103"
"Friedenau............................. ","  15","  34","  19","  43"
"Tempelhof............................ ","  36","  61","  35","  58"
"Mariendorf........................... ","  20","  40","  35","  70"
"Marienfelde......................... ","  11","  36","  12","  39"
"Lichtenrade.......................... ","  24","  49","  14","  28"
"Schillerpromenade................. ","  84","  272","  84","  266"
"Neuköllner Mitte/Zentrum..... ","  55","  149","  69","  183"
"Reuterstraße.......................... ","  54","  139","  49","  123"
"Rixdorf.................................... ","  55","  142","  72","  182"
"Köllnische Heide..................... ","  14","  95","  16","  106"
