"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Tiergarten Süd","70","556","88","676"
"Regierungsviertel","65","709","53","570"
"Alexanderplatz","242","513","237","492"
"Brunnenstraße Süd","52","203","41","154"
"Moabit West","130","310","94","220"
"Moabit Ost","89","256","76","215"
"Osloer Straße","120","342","125","345"
"Brunnenstraße Nord","145","411","126","352"
"Parkviertel","109","263","87","205"
"Wedding Zentrum","216","411","160","296"
"Südliche Friedrichstadt","138","354","125","316"
"Tempelhofer Vorstadt","180","295","143","231"
"Nördliche Luisenstadt","112","501","140","621"
"Südliche Luisenstadt","109","418","210","794"
"Karl-Marx-Allee Nord","58","261","31","138"
"Karl-Marx-Allee Süd","86","375","87","372"
"Frankfurter Allee Nord","34","125","33","120"
"Frankfurter Allee Süd FK","140","303","124","262"
"Buch","16","123","12","89"
"Blankenfelde/Niederschönhausen","12","47","16","62"
"Buchholz","9","54","3","18"
"Karow","3","16","4","21"
"Blankenburg/Heinersdorf","7","50","6","42"
"Pankow Süd","21","66","16","49"
"Schönholz/Wilhelmsruh/Rosenthal","23","134","15","87"
"Pankow Zentrum","33","102","37","111"
"Weißensee","34","103","28","83"
"Weißensee Ost","20","133","11","73"
"Prenzlauer Berg Nordwest","80","339","51","210"
"Prenzlauer Berg Nord","30","116","21","80"
"Helmholtzplatz","23","108","14","65"
"Prenzlauer Berg Ost","60","247","43","173"
"Prenzlauer Berg Südwest","18","74","29","117"
"Prenzlauer Berg Süd","16","52","17","55"
"Charlottenburg Nord","41","227","53","287"
"Heerstraße","21","168","19","151"
"Westend","40","153","31","116"
"Schloß Charlottenburg","41","177","46","196"
"Mierendorffplatz","32","225","40","274"
"Otto-Suhr-Allee","53","208","60","233"
"Neue Kantstraße","43","188","46","198"
"Kantstraße","65","318","60","290"
"Kurfürstendamm","135","927","112","768"
"Halensee","19","134","23","159"
"Grunewald","10","56","13","71"
"Schmargendorf","5","36","11","79"
"Wiesbadener Straße","12","67","12","66"
"Düsseldorfer Straße","41","140","37","124"
"Barstraße","19","141","23","169"
"Volkspark Wilmersdorf","64","198","51","155"
"Forst Grunewald","1",,"1",
"Hakenfelde","17","75","14","62"
"Falkenhagener Feld","40","103","52","133"
"Spandau Mitte","108","329","96","285"
"Brunsbütteler Damm","14","60","16","69"
"Heerstraße Nord","41","154","29","108"
"Wilhelmstadt","68","201","43","125"
"Haselhorst","36","261","20","139"
"Siemensstadt","29","249","19","158"
"Gatow/Kladow","5","28","4","22"
"Schloßstraße","61","285","67","310"
"Albrechtstraße","57","111","54","104"
"Lankwitz","36","87","34","81"
"Ostpreußendamm","17","49","19","54"
"Teltower Damm","23","70","35","107"
"Drakestraße","18","39","30","64"
"Zehlendorf Südwest","27","106","21","82"
"Zehlendorf Nord","44","106","27","65"
"Schöneberg Nord","197","418","241","513"
"Schöneberg Süd","80","168","93","195"
"Friedenau","44","100","62","140"
"Tempelhof","100","170","88","147"
"Mariendorf","57","114","60","120"
"Marienfelde","25","82","23","75"
"Lichtenrade","38","77","31","62"
"Schillerpromenade","169","546","144","456"
"Neuköllner Mitte/Zentrum","138","374","135","358"
"Reuterstraße","108","278","95","239"
"Rixdorf","113","291","125","316"
"Köllnische Heide","26","176","30","199"
"Britz","79","195","75","183"
"Buckow","26","94","24","86"
"Gropiusstadt","52","144","76","209"
"Buckow Nord","14","151","11","117"
"Rudow","40","95","32","76"
"Alt-Treptow","45","412","45","406"
"Plänterwald","10","93","12","111"
"Baumschulenweg","20","116","21","120"
"Johannisthal","16","87","11","60"
"Oberschöneweide","16","83","23","117"
"Niederschöneweide","29","278","14","132"
"Adlershof","29","188","20","128"
"Kölln Vorstadt/Spindlersf","9","91","10","100"
"Altglienicke","11","43","7","27"
"Bohnsdorf","2","17","6","50"
"Grünau","3","56","2","36"
"Schmöckwitz/Karolinenhof",,"-","1","25"
"Köpenick Süd","2","13","1","6"
"Allende-Viertel","2","33",,"-"
"Altstadt Kietz","4","58","7","101"
"Müggelheim","1","15",,"-"
"Friedrichshagen","9","51","10","57"
"Rahnsdorf/Hessenwinkel","2","22","2","22"
"Dammvorstadt","7","74","10","105"
"Köpenick Nord","5","41","4","33"
"Marzahn Nord","35","154","38","166"
"Marzahn Mitte","70","155","81","178"
"Marzahn Süd","55","152","52","142"
"Hellersdorf Nord","68","207","61","183"
"Hellersdorf Ost","26","141","30","159"
"Hellersdorf Süd","20","82","34","139"
"Biesdorf","20","80","10","39"
"Kaulsdorf","21","112","9","48"
"Mahlsdorf","6","22","9","33"
"Malchow/Warten-/Falkenberg","2","48","2","47"
"Neu-Hohenschönhausen Nord","27","98","29","105"
"Neu-Hohenschönhausen Süd","30","116","32","124"
"Alt-Hohenschönhausen Nord","11","82","13","96"
"Alt-Hohenschönhausen Süd","26","88","31","105"
"Fennpfuhl","26","82","26","81"
"Alt-Lichtenberg","25","104","37","148"
"Frankfurter Allee Süd","19","197","18","180"
"Neu-Lichtenberg","27","92","34","113"
"Friedrichsfelde Nord","22","165","15","111"
"Friedrichsfelde Süd","28","116","25","102"
"Rummelsburger Bucht","4","123","6","181"
"Karlshorst","8","35","10","43"
"Ost 1","60","234","38","146"
"Ost 2","50","196","49","190"
"West 1","11","76","15","104"
"West 4","49","196","45","177"
"West 5","24","235","23","223"
"West 2","8","34","4","17"
"Nord 1","20","61","25","76"
"Nord 2","38","130","45","151"
"MV 1","51","144","86","236"
"MV 2","9","110","14","165"
"West 3","15","94","15","94"
