Location,Number,Latitude,Longitude
BOXHAGENER STR. / NIEDERBARNIMSTR. / SIMON-DACH-STR.,1,52.5104218,13.456641399999967
DANZIGER STR. / LANDSBERGER ALLEE / PETERSBURGER STR.,2,52.52169,13.451400000000035
FINOWSTR. / FRANKFURTER ALLEE,1,52.51501,13.464789999999994
FRANKFURTER ALLEE,10,52.51501,13.464789999999994
FRANKFURTER ALLEE / JESSNERSTR. / PETTENKOFERSTR.,1,52.5173204,13.471549200000027
FRANKFURTER ALLEE / NIEDERBARNIMSTR. / PROSKAUER STR.,1,52.5174139,13.461652800000024
FREDERSDORFER STR. / RÜDERSDORFER STR.,1,52.515919,13.45457399999998
GUBENER STR. / WARSCHAUER STR.,2,52.50941,13.450759999999946
JESSNERSTR. / SCHARNWEBERSTR.,1,52.51241,13.468759999999975
KARL-MARX-ALLEE,2,52.517481,13.44134299999996
KOPERNIKUSSTR. / WARSCHAUER STR.,2,52.510568,13.452661000000035
LANDSBERGER ALLEE,1,52.5279227,13.454120200000034
MARCHLEWSKISTR. / WARSCHAUER STR. / WARSCHAUER BRÜCKE,5,52.50632909999999,13.449364400000036
MÜHLENSTR. / STRALAUER ALLEE / WARSCHAUER STR. / AM OBERBAUM,1,52.5024459,13.446545600000036
PLATZ DER VEREINTEN NATIONEN,1,52.5229307,13.428208899999959
REVALER STR. / WARSCHAUER STR.,4,52.50941,13.450759999999946
STRALAUER PLATZ,2,52.50926,13.43211999999994
STRAßE DER PARISER KOMMUNE,2,52.512697,13.437130000000025
STRAßE DER PARISER KOMMUNE / FRANZ-MEHRING-PLATZ / RÜDERSDORFER STR,1,52.515919,13.45457399999998
STRAßMANNSTR. / PETERSBURGER STR.,1,52.52169,13.451400000000035
WARSCHAUER STR.,9,52.50941,13.450759999999946
WÜHLISCHSTR.,1,52.5083913,13.462491499999942
AM OSTBAHNHOF / STRAßE DER PARISER KOMMUNE,2,52.515919,13.45457399999998
ANDREASSTR. / KARL-MARX-ALLEE / LEBUSER STR.,1,52.51918999999999,13.432749999999942
EBERTYSTR.,1,52.5241,13.4529
FRANKFURTER ALLEE / WALDEYERSTR. / WEICHSELSTR.,2,52.51205,13.469380000000001
GÄRTNERSTR. / WÜHLISCHSTR.,1,52.50889,13.460456000000022
GEORGENKIRCHSTR.,1,52.5265095,13.423625799999968
GÜRTELSTR. / SCHARNWEBERSTR.,1,52.51241,13.468759999999975
KARL-MARX-ALLEE / STRAUSBERGER PLATZ,1,52.518,13.42759000000001
PETERSBURGER STR.,1,52.52169,13.451400000000035
STRAßE DER PARISER KOMMUNE / KARL-MARX-ALLEE,1,52.517481,13.44134299999996
WARSCHAUER BRÜCKE,1,52.50632909999999,13.449364400000036
DIRSCHAUER STR. / REVALER STR.,1,52.50749709999999,13.456105500000035
GABRIEL-MAX-STR.,1,52.5108283,13.458318299999974
KARL-MARX-ALLEE / KOPPENSTR.,1,52.5175145,13.436538700000028
LICHTENBERGER STR. / NEUE WEBERSTR. / WEYDEMEYERSTR.,1,52.5208675,13.426905300000044
MARKGRAFENDAMM / PERSIUSSTR.,1,52.50078999999999,13.462400000000002
PETTENKOFERSTR.,1,52.5173204,13.471549200000027
PROSKAUER STR.,1,52.5174139,13.461652800000024
RÜDERSDORFER STR.,2,52.51339,13.441299999999956
BÄNSCHSTR. / PROSKAUER STR.,1,52.5174139,13.461652800000024
FRANKFURTER ALLEE / SAMARITERSTR.,2,52.51766,13.466090000000008
WARSCHAUER PLATZ,1,52.50517,13.449340000000007
STRAßE DER PARISER KOMMUNE / HILDEGARD-JADAMOWITZ-STR.,1,52.5144074,13.451870900000017
CORINTHSTR. / PERSIUSSTR. / ROCHOWSTR.,1,52.50059,13.457949999999983
HELSINGFORSER STR.,1,52.5091415,13.447006399999964
MÜHSAMSTR. / PETERSBURGER STR.,1,52.52169,13.451400000000035
NIEDERBARNIMSTR.,1,52.51401,13.458719999999971
REVALER STR. / MODERSOHNSTR.,1,52.50442,13.456959999999981
GRÜNBERGER STR. / SEUMESTR. / WISMARPLATZ,1,52.5113723,13.463043500000026
PETERSBURGER PLATZ,1,52.52109,13.449240000000032
AUERSTR. / STRAßMANNSTR. / RICHARD-SORGE-STR.,1,52.52123,13.44704999999999
AN DER OSTBAHN / ERICH-STEINFURTH-STR. / STRAßE DER PARISER KOMMUNE,1,52.512697,13.437130000000025
FRIEDENSTR. / FRIEDRICHSBERGER STR.,1,52.52088,13.434210000000007
HAUPTSTR. / KYNASTSTR.,1,52.500933,13.4689214
SEUMESTR.,1,52.5094066,13.461757799999987
BOSSESTR. / CORINTHSTR.,1,52.50029,13.460500000000025
EHRENBERGSTR. / ROTHERSTR.,1,52.50366,13.452160000000049
MARKGRAFENDAMM,1,52.50021,13.465869999999995
WALDEYERSTR.,1,52.51503,13.472319999999968
O2-PLATZ,1,52.5181354,13.429379599999947
NEUE BAHNHOFSTR. / SIMPLONSTR. / SONNTAGSTR.,1,52.50629,13.465370000000007
HILDEGARD-JADAMOWITZ-STR. / LASDEHNER STR.,1,52.51449,13.449100000000044
HILDEGARD-JADAMOWITZ-STR. / MARCHLEWSKISTR. / WEBERWIESE,1,52.515919,13.45457399999998
BÖDIKERSTR. / PERSIUSSTR.,1,52.50078999999999,13.462400000000002
SAMARITERSTR.,1,52.51766,13.466090000000008
SILVIO-MEIER-STR. / FRANKFURTER ALLEE,1,52.51501,13.464789999999994
