Location,Number,Latitude,Longitude
ALLEE DER KOSMONAUTEN,2,52.5333949,13.54929960000004
BLENHEIMSTR.,1,52.5413485,13.558211300000039
DANKRATSTR. / EICHENALLEE / KÖPENICKER STR.,1,52.4938727,13.56192729999998
HAVEMANNSTR.,2,52.56781119999999,13.573600400000032
KÖPENICKER STR.,1,52.4938727,13.56192729999998
LANDSBERGER ALLEE,2,52.5447074,13.563738000000058
MEHROWER ALLEE,2,52.5560653,13.5663323
POELCHAUSTR.,4,52.533486,13.54333889999998
RHINSTR. / LANDSBERGER ALLEE,1,52.535656,13.517483999999968
WARENER STR. / RAPSWEG / BLUMBERGER DAMM,1,52.534684,13.566613200000006
FRANZ-STENZER-STR.,1,52.5451467,13.549787599999945
GARTENSTR. / KÖPENICKER STR. / LINDENSTR.,1,52.4852376,13.571127899999965
GLAMBECKER RING / BLUMBERGER DAMM / MEHROWER ALLEE,1,52.5560653,13.5663323
HABICHTSHORST / KÖPENICKER STR.,1,52.4938727,13.56192729999998
KÖPENICKER STR. / WEIßENHÖHER STR.,1,52.53610699999999,13.60497250000003
MÄRKISCHE ALLEE / WUHLETALSTR.,1,52.56027599999999,13.55661699999996
MARZAHNER PROMENADE,1,52.543963,13.550593899999967
RHINSTR.,2,52.5247076,13.519519400000036
WEIßENHÖHER STR.,1,52.5075097,13.552759899999955
LANDSBERGER ALLEE / BLUMBERGER DAMM,1,52.546124,13.572037000000023
SCHORFHEIDESTR.,1,52.570625,13.576623199999972
ALLEE DER KOSMONAUTEN / ALLEE DER KOSMONAUTEN,2,52.5333949,13.54929960000004
JAN-PETERSEN-STR.,1,52.54880619999999,13.563746400000014
KIENBERGSTR.,2,52.5380018,13.564272500000015
SELLA-HASSE-STR. / MEHROWER ALLEE,1,52.5560653,13.5663323
ALLEE DER KOSMONAUTEN / BÄRENSTEINSTR. / HINTER DER MÜHLE,1,52.543988,13.562476400000037
HELLERSDORFER WEG / WOLFENER STR.,1,52.5588797,13.549664699999994
OBERFELDSTR.,2,52.5216773,13.556278199999952
OBERFELDSTR. / ÖSELER STR. / RAPSWEG,1,52.5195657,13.560252999999989
WÖRLITZER STR. / ROSENBECKER STR. / HAVEMANNSTR.,1,52.56781119999999,13.573600400000032
WOLFENER STR.,1,52.5588797,13.549664699999994
GERAER RING,1,52.5677252,13.558960599999978
MÄRKISCHE ALLEE / MEHROWER ALLEE,1,52.5560653,13.5663323
ALFELDER STR. / KÖPENICKER STR.,1,52.4938727,13.56192729999998
BARNIMPLATZ / BORKHEIDER STR. / SCHORFHEIDESTR. / HAVEMANNSTR.,2,52.56781119999999,13.573600400000032
BRUNO-BAUM-STR.,1,52.5386378,13.54456730000004
WÖRLITZER STR. / HAVEMANNSTR.,2,52.56781119999999,13.573600400000032
BASDORFER STR.,1,52.5458632,13.546683600000051
HADUBRANDSTR. / KÖPENICKER STR.,1,52.4938727,13.56192729999998
DESSAUER STR. / MERSEBURGER STR.,1,52.567409,13.554142700000057
RAOUL-WALLENBERG-STR.,1,52.54854839999999,13.556637599999931
BIESDORFER FRIEDHOFSWEG,1,52.5100701,13.56754860000001
EITELSTR. / LUISE-ZIETZ-STR. / ALLEE DER KOSMONAUTEN,1,52.5333949,13.54929960000004
HINTER DER MÜHLE,1,52.543988,13.562476400000037
U-BHF. ELSTERWERDAER PLATZ,1,52.5060619,13.559571000000005
WUHLETALSTR. / WUHLETALSTR.,1,52.56062619999999,13.564668600000005
