Location,Number,Latitude,Longitude
AHRENSFELDER CHAUSSEE,1,52.5687727,13.549496800000043
BIESENBROWER STR.,1,52.5647818,13.527313400000025
FALKENBERGER CHAUSSEE / EGON-ERWIN-KISCH-STR. / PABLO-PICASSO-STR.,1,52.5614027,13.520799000000011
FALKENBERGER CHAUSSEE / HANSASTR. / MALCHOWER WEG / DARßER STR.,1,52.546622,13.486875999999938
FALKENBERGER CHAUSSEE / RÜDICKENSTR. / ZINGSTER STR.,3,52.5685523,13.498688300000026
HAUPTSTR.,1,52.5485766,13.506037300000003
KONRAD-WOLF-STR.,9,52.54217,13.488309999999956
KONRAD-WOLF-STR. / SIMON-BOLIVAR-STR.,1,52.546622,13.486875999999938
WARTENBERGER STR.,1,52.55690999999999,13.514464299999986
ZECHLINER STR.,1,52.5361791,13.493037100000038
ZINGSTER STR.,1,52.5685523,13.498688300000026
GENSLERSTR.,1,52.53931,13.498659999999973
HANSASTR.,1,52.5521594,13.477690100000018
SIMON-BOLIVAR-STR.,1,52.5376172,13.487249799999972
ZINGSTER STR. / AHRENSHOOPER STR.,1,52.56842169999999,13.502695200000062
AM BREITEN LUCH,1,52.5618275,13.513346800000022
EGON-ERWIN-KISCH-STR. / GREVESMÜHLENER STR.,1,52.546622,13.486875999999938
FALKENBERGER BRÜCKE,1,52.546622,13.486875999999938
RÜDICKENSTR.,1,52.5610505,13.507622099999935
WARNITZER STR.,1,52.5663669,13.519360399999982
WERNEUCHENER STR.,1,52.54066,13.49425999999994
WARTINER STR.,1,52.5669333,13.53197350000005
WUSTROWER STR.,2,52.569042,13.504986499999973
LIEBENWALDER STR.,1,52.5363146,13.500209300000051
DEGNERSTR. / SUERMONDTSTR.,1,52.549756,13.498523999999975
DORFSTR.,2,52.5747188,13.483065699999997
MALCHOWER WEG,2,52.55615,13.502920000000017
BUSCHALLEE / ORANKESTRAND / SUERMONDTSTR.,1,52.55049,13.49423999999999
RANDOWSTR. / VINCENT-VAN-GOGH-STR.,2,52.546622,13.486875999999938
AM BREITEN LUCH / RÜDICKENSTR.,1,52.5610505,13.507622099999935
ERNST-BARLACH-STR.,1,52.5754767,13.5084157
