Location,Number,Latitude,Longitude
AM BAHNDAMM,1,52.45959,13.576490000000035
BAHNHOFSTR.,4,52.45484,13.576099999999997
BAHNHOFSTR. / SEELENBINDERSTR.,4,52.455393,13.576878999999963
BÖLSCHESTR. / DAHLWITZER LANDSTR. / FÜRSTENWALDER DAMM,1,52.52000659999999,13.404953999999975
BÖLSCHESTR. / MYLIUSGARTEN,2,52.52000659999999,13.404953999999975
DAHLWITZER LANDSTR. / SCHÖNEICHER STR. / KURPARK FRIEDRICHSHAGEN,1,52.52000659999999,13.404953999999975
ERNST-GRUBE-STR. / OBERSPREESTR. / OTTOMAR-GESCHKE-STR.,2,52.52000659999999,13.404953999999975
FÜRSTENWALDER ALLEE,2,52.4327808,13.710956600000031
FÜRSTENWALDER DAMM,3,52.4540183,13.647912799999972
GRÜNAUER STR.,1,52.4192117,13.543443300000035
NALEPASTR. / SIEMENSSTR. / WILHELMINENHOFSTR.,1,52.52000659999999,13.404953999999975
REGATTASTR.,2,52.4172484,13.580729499999961
SALVADOR-ALLENDE-STR.,2,52.44615,13.594299999999976
SEELENBINDERSTR.,3,52.45559,13.585559999999987
SIEMENSSTR. / WATTSTR.,1,52.52000659999999,13.404953999999975
WENDENSCHLOßSTR.,3,52.4314,13.584069999999997
WILHELMINENHOFSTR.,3,52.4605313,13.521875000000023
BAHNHOFSTR. / ELCKNERPLATZ,2,52.52000659999999,13.404953999999975
BAHNHOFSTR. / FRIEDRICHSHAGENER STR.,1,52.52000659999999,13.404953999999975
EDISONSTR.,1,52.4643255,13.513627000000042
ERWIN-BOCK-STR.,1,52.44030000000001,13.597890000000007
FRIEDRICHSHAGENER STR.,3,52.45284419999999,13.585272799999984
GLIENICKER STR. / GRÜNAUER STR.,1,52.52000659999999,13.404953999999975
ADLERGESTELL / RICHTERSTR. / WASSERSPORTALLEE,3,52.52000659999999,13.404953999999975
EDISONSTR. / HELMHOLTZSTR. / ZEPPELINSTR.,1,52.52000659999999,13.404953999999975
GRÜNSTR.,1,52.44502,13.575839999999971
KAULSDORFER STR. / MAHLSDORFER STR.,1,52.52000659999999,13.404953999999975
AM BAHNDAMM / BAHNHOFSTR. / MAHLSDORFER STR. / STELLINGDAMM,2,52.52000659999999,13.404953999999975
GLIENICKER STR. / RUDOWER STR. / MAHLOWER STR.,1,52.52000659999999,13.404953999999975
HÄMMERLINGSTR.,1,52.46079,13.57269999999994
ALT-KÖPENICK,1,52.52000659999999,13.404953999999975
AM GOLDMANNPARK / BÖLSCHESTR. / SCHMALER WEG,1,52.52000659999999,13.404953999999975
LINDENSTR.,1,52.45256,13.570169999999962
WASSERSPORTALLEE,1,52.4155317,13.578088600000001
KÖPENZEILE,1,52.43151,13.592989999999986
SALVADOR-ALLENDE-STR. / FRIEDRICHSHAGENER STR.,1,52.52000659999999,13.404953999999975
TABBERTSTR.,1,52.4656041,13.50513479999995
BAHRENDORFER STR. / KAULSDORFER STR. / KLEINSCHEWSKYSTR.,1,52.52000659999999,13.404953999999975
AN DER WUHLHEIDE,1,52.45544,13.56379000000004
FIRLSTR. / LAUFFENER STR. / WILHELMINENHOFSTR.,1,52.52000659999999,13.404953999999975
BRUNO-WILLE-STR. / RAHNSDORFER STR.,1,52.52000659999999,13.404953999999975
SALVADOR-ALLENDE-STR. / ANEMONENSTR.,1,52.52000659999999,13.404953999999975
ALTE KAULSDORFER STR. / KAULSDORFER STR.,1,52.52000659999999,13.404953999999975
VERLÄNGERTE RATHENAUSTR.,1,52.4632388,13.534112100000016
LASSALLESTR. / SCHÖNBLICKER STR.,1,52.52000659999999,13.404953999999975
THÜRNAGELSTR.,1,52.45757,13.582499999999982
MITTELHEIDE,1,52.46292,13.590439999999944
SPINDLERSFELDER STR. / WENDENHEIDEBRÜCKE / OBERSPREESTR.,1,52.52000659999999,13.404953999999975
FÜRSTENWALDER ALLEE / LAGUNENWEG / NICKELSWALDER STR.,1,52.52000659999999,13.404953999999975
