Location,Number,Latitude,Longitude
BERGMANNSTR.,1,52.48872,13.39634000000001
BLÜCHERSTR. / BLÜCHERPLATZ,1,52.49703450000001,13.391235400000028
BLÜCHERSTR. / BRACHVOGELSTR. / MITTENWALDER STR.,1,52.49232,13.39632000000006
BÖCKHSTR. / BÜRKNERSTR. / KOTTBUSSER DAMM / SCHÖNLEINSTR.,1,52.4919234,13.420630200000005
GNEISENAUSTR.,1,52.49087,13.396099999999933
GNEISENAUSTR. / MEHRINGDAMM / YORCKSTR.,1,52.492763,13.37969499999997
HASENHEIDE,6,52.486766,13.41711799999996
HASENHEIDE / JAHNSTR.,1,52.48873,13.419750000000022
KATZBACHSTR. / YORCKSTR.,1,52.492763,13.37969499999997
KOTTBUSSER DAMM,1,52.492154,13.422557600000005
KREUZBERGSTR. / MONUMENTENSTR. / MONUMENTENBRÜCKE,1,52.4986049,13.391798699999981
MEHRINGDAMM,9,52.48501719999999,13.386050899999987
TEMPELHOFER UFER / WATERLOO-UFER / HALLESCHE-TOR-BRÜCKE,1,52.4977591,13.391968899999938
URBANSTR.,1,52.49185,13.41229999999996
YORCKSTR.,1,52.492763,13.37969499999997
BERGMANNSTR. / KREUZBERGSTR. / MEHRINGDAMM,2,52.48501719999999,13.386050899999987
BLÜCHERSTR. / MEHRINGDAMM / OBENTRAUTSTR.,1,52.4967,13.384500000000003
GNEISENAUSTR. / SCHLEIERMACHERSTR.,1,52.49169999999999,13.398199999999974
KOTTBUSSER DAMM / MAYBACHUFER / PLANUFER / KOTTBUSSER BRÜCKE,1,52.4959833,13.420167399999968
BERGMANNSTR. / ZOSSENER STR.,2,52.4965469,13.39527559999999
BOELCKESTR. / DUDENSTR. / KATZBACHSTR.,3,52.4882831,13.376411899999994
DIEFFENBACHSTR.,1,52.49329,13.414710000000014
KÖRTESTR.,1,52.49037999999999,13.410229999999956
LILIENTHALSTR.,1,52.4857589,13.406944899999985
ZOSSENER STR.,1,52.4965469,13.39527559999999
FIDICINSTR. / FRIESENSTR. / JÜTERBOGER STR.,1,52.4986049,13.391798699999981
GNEISENAUSTR. / NOSTITZSTR.,1,52.49122,13.390179999999987
KREUZBERGSTR.,2,52.489813,13.383271000000036
MEHRINGDAMM / SCHWIEBUSSER STR.,3,52.48616999999999,13.389710000000036
LUCKENWALDER STR.,1,52.49992,13.375390000000039
GROßBEERENSTR. / WARTENBURGSTR.,1,52.49594,13.381560000000036
FICHTESTR. / GRIMMSTR. / KÖRTESTR. / URBANSTR. / GRIMMPARK,2,52.4986049,13.391798699999981
GNEISENAUSTR. / ZOSSENER STR. / U-BHF. GNEISENAUSTR.,1,52.49087,13.396099999999933
GRAEFESTR. / HASENHEIDE / VOLKSPARK HASENHEIDE,2,52.4832702,13.417196500000045
DUDENSTR.,1,52.48513819999999,13.381530800000064
ADALBERTSTR.,4,52.501182,13.41918970000006
ADMIRALSTR. / KOTTBUSSER STR. / REICHENBERGER STR. / SKALITZER STR. / 
ADALBERTST,4,52.4986049,13.391798699999981
ALEXANDRINENSTR.,1,52.502485,13.402888500000017
ANHALTER STR. / ASKANISCHER PLATZ / STRESEMANNSTR.,1,52.5030947,13.383798899999988
BEVERNSTR. / OBERBAUMSTR. / OPPELNER STR. / SCHLESISCHE STR. / SKALITZER 
STR. /,1,52.49964,13.427919999999972
FRAENKELUFER / KOHLFURTER STR. / KOTTBUSSER STR. / MARIANNENSTR. / 
PAUL-LINCKE-U,2,52.4986049,13.391798699999981
FRIEDRICH-STAMPFER-STR. / STRESEMANNSTR. / WILHELMSTR.,1,52.50515,13.38639999999998
FRIEDRICHSTR.,1,52.5076184,13.390042900000026
GITSCHINER STR.,1,52.49857000000001,13.401839999999993
GITSCHINER STR. / PRINZENSTR.,3,52.50114,13.408260000000041
GÖRLITZER STR.,1,52.49713,13.43805999999995
