Location,Number,Latitude,Longitude
ALT-TEMPELHOF / TEMPELHOFER DAMM / U-BHF. ALT-TEMPELHOF / DORFAUE 
TEMPELHOF,1,52.5374952,13.500223799999958
ESCHERSHEIMER STR. / OBERLANDSTR. / SILBERSTEINSTR.,1,52.5374952,13.500223799999958
FELIXSTR. / GERMANIASTR. / RINGBAHNSTR.,1,52.5374952,13.500223799999958
FRIEDENSTR. / GROßBEERENSTR. / LANKWITZER STR.,2,52.5374952,13.500223799999958
FRIEDRICH-WILHELM-STR. / MANTEUFFELSTR.,2,52.5011938,13.428044
GROßBEERENSTR.,1,52.5374952,13.500223799999958
GROßBEERENSTR. / WILHELM-VON-SIEMENS-STR.,1,52.5374952,13.500223799999958
KAISERSTR. / RATHAUSSTR.,1,52.5148304,13.481214000000023
LANKWITZER STR.,1,52.5374952,13.500223799999958
MARIENDORFER DAMM,1,52.470692,13.465353700000037
OBERLANDSTR.,1,52.5374952,13.500223799999958
RINGSTR.,1,52.5103501,13.581990200000064
RIXDORFER STR.,1,52.45987539999999,13.500169099999994
TEMPELHOFER DAMM,2,52.4739154,13.471760600000039
ALT-TEMPELHOF,1,52.4858912,13.47821840000006
ATTILASTR.,2,52.5374952,13.500223799999958
FRIEDRICH-KARL-STR. / ORDENSMEISTERSTR. / TEMPELHOFER DAMM,3,52.4739154,13.471760600000039
KAISERSTR. / MARIENDORFER DAMM / WESTPHALWEG,1,52.5374952,13.500223799999958
MANTEUFFELSTR.,1,52.5011938,13.428044
TEILESTR.,1,52.5374952,13.500223799999958
FELIXSTR.,1,52.5374952,13.500223799999958
GOTTLIEB-DUNKEL-STR. / SCHAFFHAUSENER STR. / TEMPELHOFER WEG,1,52.515878,13.426298599999996
RINGBAHNSTR. / TEMPELHOFER DAMM,1,52.4739154,13.471760600000039
SCHÖNEBERGER STR.,1,52.515878,13.426298599999996
GONTERMANNSTR.,1,52.5374952,13.500223799999958
BOELCKESTR.,1,52.5374952,13.500223799999958
MANTEUFFELSTR. / RINGBAHNSTR.,1,52.5374952,13.500223799999958
GERSDORFSTR. / KAISERSTR.,3,52.5374952,13.500223799999958
ALBRECHTSTR. / FELIXSTR.,1,52.5374952,13.500223799999958
BAYERNRING,1,52.5374952,13.500223799999958
IMBROSWEG / RIXDORFER STR.,1,52.45987539999999,13.500169099999994
MUSSEHLSTR.,1,52.5374952,13.500223799999958
COLUMBIADAMM,2,52.4800989,13.418251899999973
ATTILASTR. / RINGSTR.,1,52.5103501,13.581990200000064
TEMPELHOFER DAMM / PLATZ DER LUFTBRÜCKE,1,52.5374952,13.500223799999958
ALARICHSTR. / ARNULFSTR. / ATTILASTR. / MANTEUFFELSTR. / ATTILAPLATZ,1,52.5374952,13.500223799999958
ORDENSMEISTERSTR.,1,52.5374952,13.500223799999958
ALBRECHTSTR. / GÄßNERWEG,1,52.5374952,13.500223799999958
ALT-TEMPELHOF / FUHRMANNSTR. / GERMANIASTR. / DORFAUE TEMPELHOF / ST,1,52.5374952,13.500223799999958
EISENACHER STR. / LERCHENWEG / MORSBRONNER WEG,1,52.5374952,13.500223799999958
WITTEKINDSTR.,1,52.5374952,13.500223799999958
BÄUMERPLAN / WÜSTHOFFSTR. / SPIELPARK BÄUMERPLAN,ZW.WÜSTHOFFS.U.LO,1,52.5374952,13.500223799999958
EHEMALIGER FLUGPLATZ TEMPELHOF,1,52.5374952,13.500223799999958
EISENACHER STR. / KOLLOSTR.,1,52.5374952,13.500223799999958
ALT-TEMPELHOF / MANTEUFFELSTR. / SCHÖNEBERGER STR. / BERLINICKEPLATZ,1,52.5374952,13.500223799999958
EINÖDSHOFERWEG / EISENACHER STR. / MONOPOLSTR.,1,52.5374952,13.500223799999958
EISENACHER STR. / KOSLECKWEG / STEINHELLENWEG,1,52.5374952,13.500223799999958
MARKGRAFENSTR. / RATHAUSSTR.,1,52.5148304,13.481214000000023
ALBRECHTSTR. / FRIEDENSPLATZ,1,52.5374952,13.500223799999958
BLUMENTHALSTR.,1,52.5374952,13.500223799999958
COLUMBIADAMM / LILIENTHALSTR.,1,52.5374952,13.500223799999958
MANFRED-VON-RICHTHOFEN-STR. / ADOLF-SCHEIDT-PLATZ,1,52.5374952,13.500223799999958
MARIENDORFER DAMM / RICHTERSTR. / VOLKSPARK MARIENDORF,1,52.5374952,13.500223799999958
PLATZ DER LUFTBRÜCKE,1,52.5374952,13.500223799999958
FRIEDRICH-FRANZ-STR. / FRIEDRICH-KARL-STR. / OTTOKARSTR.,1,52.5374952,13.500223799999958
BAHNHOFSTR. / BRIESINGSTR. / STEINSTR. / PFARRER-LÜTKEHAUS-PLATZ,1,52.5374952,13.500223799999958
BRITZER STR. / GOLDENES HORN,1,52.5374952,13.500223799999958
BUCKOWER CHAUSSEE / HALKER ZEILE / RICHARD-TAUBER-DAMM,2,52.5374952,13.500223799999958
BUCKOWER CHAUSSEE / LICHTENRADER DAMM / MARIENDORFER DAMM / 
MARIENFELDER CHAUSSE,3,52.5374952,13.500223799999958
