Location,Number,Latitude,Longitude
ALLEE DER KOSMONAUTEN,2,52.5316113,13.54743510000003
BLENHEIMSTR.,1,52.5412349,13.558477700000026
DANKRATSTR. / EICHENALLEE / KÖPENICKER STR.,1,52.4938727,13.56192729999998
HAVEMANNSTR.,2,52.5678608,13.57233450000001
KÖPENICKER STR.,1,52.4938727,13.56192729999998
LANDSBERGER ALLEE,2,52.5352164,13.518523800000025
MEHROWER ALLEE,2,52.55591,13.566550000000007
POELCHAUSTR.,4,52.53390049999999,13.543108899999993
RHINSTR. / LANDSBERGER ALLEE,1,52.535656,13.517483999999968
WARENER STR. / RAPSWEG / BLUMBERGER DAMM,1,52.54806,13.573010000000068
FRANZ-STENZER-STR.,1,52.5464472,13.550818700000036
GARTENSTR. / KÖPENICKER STR. / LINDENSTR.,1,52.4850957,13.570123700000067
GLAMBECKER RING / BLUMBERGER DAMM / MEHROWER ALLEE,1,52.555331,13.573738000000048
HABICHTSHORST / KÖPENICKER STR.,1,52.4938727,13.56192729999998
KÖPENICKER STR. / WEIßENHÖHER STR.,1,52.5426585,13.54936269999996
MÄRKISCHE ALLEE / WUHLETALSTR.,1,52.56027599999999,13.55661699999996
MARZAHNER PROMENADE,1,52.54477,13.549819999999954
RHINSTR.,2,52.52467,13.520440000000008
WEIßENHÖHER STR.,1,52.5075097,13.552759899999955
LANDSBERGER ALLEE / BLUMBERGER DAMM,1,52.546124,13.572037000000023
SCHORFHEIDESTR.,1,52.5705142,13.57681649999995
ALLEE DER KOSMONAUTEN / ALLEE DER KOSMONAUTEN,2,52.5316113,13.54743510000003
JAN-PETERSEN-STR.,1,52.54901,13.563819999999964
KIENBERGSTR.,2,52.53787999999999,13.563703900000064
SELLA-HASSE-STR. / MEHROWER ALLEE,1,52.55591,13.566550000000007
ALLEE DER KOSMONAUTEN / BÄRENSTEINSTR. / HINTER DER MÜHLE,1,52.54404,13.561180000000036
HELLERSDORFER WEG / WOLFENER STR.,1,52.55709,13.548189999999977
OBERFELDSTR.,2,52.5216773,13.556278199999952
OBERFELDSTR. / ÖSELER STR. / RAPSWEG,1,52.5195657,13.560252999999989
WÖRLITZER STR. / ROSENBECKER STR. / HAVEMANNSTR.,1,52.5678608,13.57233450000001
WOLFENER STR.,1,52.55709,13.548189999999977
GERAER RING,1,52.56741,13.559099999999944
MÄRKISCHE ALLEE / MEHROWER ALLEE,1,52.55591,13.566550000000007
ALFELDER STR. / KÖPENICKER STR.,1,52.4938727,13.56192729999998
BARNIMPLATZ / BORKHEIDER STR. / SCHORFHEIDESTR. / HAVEMANNSTR.,2,52.5678608,13.57233450000001
BRUNO-BAUM-STR.,1,52.53866,13.544949999999972
WÖRLITZER STR. / HAVEMANNSTR.,2,52.5678608,13.57233450000001
BASDORFER STR.,1,52.54602,13.547630000000026
HADUBRANDSTR. / KÖPENICKER STR.,1,52.4938727,13.56192729999998
DESSAUER STR. / MERSEBURGER STR.,1,52.56735,13.553660000000036
RAOUL-WALLENBERG-STR.,1,52.54877,13.556640000000016
BIESDORFER FRIEDHOFSWEG,1,52.5100701,13.56754860000001
EITELSTR. / LUISE-ZIETZ-STR. / ALLEE DER KOSMONAUTEN,1,52.5316113,13.54743510000003
HINTER DER MÜHLE,1,52.54404,13.561180000000036
U-BHF. ELSTERWERDAER PLATZ,1,52.5060619,13.559571000000005
WUHLETALSTR. / WUHLETALSTR.,1,52.55991,13.56639999999993
