Location,Number,Latitude,Longitude
AN DER SPANDAUER BRÜCKE / HACKESCHER MARKT / ROSENTHALER STR.,3,52.524577,13.40324499999997
AUGUSTSTR.,1,52.52706629999999,13.397015199999942
BRUNNENSTR.,2,52.5390431,13.395326899999986
CHAUSSEESTR.,4,52.5332587,13.379740500000025
FRIEDRICHSTR. / REINHARDTSTR.,1,52.52370699999999,13.386834000000022
GARTENSTR. / TORSTR. / KLEINE HAMBURGER STR.,1,52.5278271,13.395368800000028
INVALIDENSTR.,3,52.5291873,13.378482299999973
ORANIENBURGER STR.,1,52.5246472,13.394239299999981
ORANIENBURGER STR. / TUCHOLSKYSTR.,1,52.5255023,13.393189600000028
REINHARDTSTR.,3,52.5229722,13.382029999999986
ROSENTHALER STR.,4,52.5269114,13.403415499999937
TORSTR.,1,52.5295851,13.401165200000037
TORSTR. / ALTE SCHÖNHAUSER STR. / SCHÖNHAUSER ALLEE / ROSA-LUXEMBURG-
STR.,1,52.5252582,13.410590599999978
TORSTR. / NOVALISSTR.,1,52.528478,13.388635399999998
ALBRECHTSTR.,1,52.5227741,13.384113100000036
AM ZWIRNGRABEN / AN DER SPANDAUER BRÜCKE / DIRCKSENSTR.,1,52.5212924,13.41221500000006
AUGUSTSTR. / TUCHOLSKYSTR.,1,52.5255023,13.393189600000028
CHAUSSEESTR. / SCHLEGELSTR.,1,52.5301768,13.386810200000014
GIPSSTR. / GORMANNSTR. / ROSENTHALER STR. / WEINMEISTERSTR.,3,52.5254626,13.405072099999984
TORSTR. / STRAßBURGER STR. / ZOLASTR.,1,52.5279831,13.41161820000002
LINIENSTR.,1,52.52896330000001,13.4018509
ANKLAMER STR.,1,52.5347316,13.397019
GARTENSTR. / INVALIDENSTR.,1,52.5291873,13.378482299999973
WEINMEISTERSTR.,1,52.5254626,13.405072099999984
BRUNNENSTR. / TORSTR. / ROSENTHALER PLATZ / ROSENTHALER STR. / 
WEINBERGSWEG,1,52.5315016,13.402723599999945
CHAUSSEESTR. / IDA-VON-ARNIM-STR. / WÖHLERTSTR.,1,52.5365155,13.377797600000008
HESSISCHE STR.,1,52.5287781,13.380231399999957
PFLUGSTR.,1,52.5368593,13.379422900000009
FRIEDRICHSTR. / ORANIENBURGER STR.,2,52.5246472,13.394239299999981
BRUNNENSTR. / RHEINSBERGER STR.,1,52.5377665,13.399817600000006
HUGO-PREUß-BRÜCKE,1,52.5235677,13.372157099999981
ALEXANDERPLATZ,1,52.5219184,13.413214700000026
ALEXANDERSTR.,2,52.5196362,13.416558399999985
DIRCKSENSTR. / KARL-LIEBKNECHT-STR.,1,52.52260399999999,13.409727900000007
FRIEDRICHSTR.,2,52.51768449999999,13.388711999999941
FRIEDRICHSTR. / FRANZÖSISCHE STR.,1,52.5306438,13.38306829999999
FRIEDRICHSTR. / UNTER DEN LINDEN,2,52.516996,13.388875999999982
FRIEDRICHSTR. / ZIMMERSTR.,1,52.5078243,13.392301699999962
GLINKASTR. / NEUSTÄDTISCHE KIRCHSTR. / UNTER DEN LINDEN,2,52.5171845,13.38908850000007
GRUNERSTR.,4,52.5195873,13.412897899999962
GRUNERSTR. / KLOSTERSTR.,2,52.5168098,13.412407700000017
HOLZMARKTSTR.,2,52.5144384,13.420987999999966
JANNOWITZBRÜCKE / BRÜCKENSTR. / MÄRKISCHES UFER,1,52.5138194,13.412855100000002
KARL-LIEBKNECHT-STR.,5,52.52260399999999,13.409727900000007
