Location,Number,Latitude,Longitude
KOTTBUSSER DAMM / URBANSTR. / HERMANNPLATZ / SONNENALLEE,4,52.487555,13.426476999999977
ERKSTR. / SONNENALLEE / WILDENBRUCHSTR.,2,52.481389,13.43527800000004
FULDASTR. / SONNENALLEE,1,52.4757424,13.452029100000004
HARZER STR. / WILDENBRUCHSTR.,1,52.486352,13.446356000000037
HERMANNPLATZ,4,52.4870284,13.424996100000044
HOBRECHTSTR. / SONNENALLEE,1,52.4757424,13.452029100000004
NAUMBURGER STR.,1,52.46669989999999,13.446086700000023
PLANETENSTR. / SONNENALLEE,1,52.4757424,13.452029100000004
SAALESTR. / SONNENALLEE,4,52.472215,13.454457999999931
SONNENALLEE,9,52.4757424,13.452029100000004
WEICHSELSTR. / SONNENALLEE,1,52.4757424,13.452029100000004
ARONSSTR.,1,52.4742147,13.464254900000014
ELBESTR. / SONNENALLEE,1,52.4757424,13.452029100000004
REUTERSTR. / SONNENALLEE,2,52.4757424,13.452029100000004
SAALESTR.,4,52.4705988,13.449248000000011
STUTTGARTER STR. / TREPTOWER STR.,1,52.4811871,13.452197500000011
WESERSTR.,3,52.4834454,13.440749299999993
HÄNSELSTR. / JUPITERSTR. / SONNENALLEE,1,52.4757424,13.452029100000004
HARZER STR.,3,52.4857358,13.447602599999982
LIBERDASTR. / MANITIUSSTR.,1,52.4912877,13.432396799999992
RICHARDSTR.,1,52.4757969,13.443411400000059
TREPTOWER STR.,2,52.4811871,13.452197500000011
SAALESTR. / WIPPERSTR.,1,52.4711197,13.443001999999979
ANZENGRUBERSTR. / DONAUSTR.,1,52.4812526,13.43775740000001
ARONSSTR. / DAMMWEG,1,52.47149109999999,13.467145500000015
BRUSENDORFER STR. / SAALESTR. / SCHWARZASTR. / SIEGFRIED-AUFHÄUSER-
PLATZ,2,52.481389,13.43527800000004
REUTERSTR. / WESERSTR.,1,52.4834454,13.440749299999993
BERTHELSDORFER STR.,1,52.4784585,13.440984200000003
PFLÜGERSTR.,1,52.4906579,13.43162719999998
WILDENBRUCHPLATZ / WILDENBRUCHPARK / WILDENBRUCHSTR.,1,52.4848785,13.444330499999978
BROCKENSTR. / SINSHEIMER WEG / HARZER STR.,1,52.4857358,13.447602599999982
HEINRICH-SCHLUSNUS-STR.,1,52.4637322,13.47089230000006
BÜRKNERSTR. / FRIEDELSTR. / MAYBACHUFER / HOBRECHTBRÜCKE,1,52.49347950000001,13.42821349999997
HABERSTR.,1,52.4635087,13.463632800000028
NANSENSTR. / WESERSTR.,1,52.4834454,13.440749299999993
BRAUNSCHWEIGER STR. / NIEMETZSTR.,1,52.4715213,13.451716199999964
DIESELSTR.,1,52.4773948,13.464203399999974
BOUCHÉSTR. / HARZER STR.,1,52.4857358,13.447602599999982
BRAUNSCHWEIGER STR. / ELSTERSTR.,1,52.4711071,13.450053199999957
KIEHLUFER / ELSENSTR. / ELSENSTEG,1,52.481389,13.43527800000004
MICHAEL-BOHNEN-RING / SONNENALLEE,1,52.4757424,13.452029100000004
BUSCHKRUGALLEE,2,52.453378,13.451736500000038
