Location,Number,Latitude,Longitude
BERLINER STR.,2,52.5987473,13.433231200000023
BERLINER STR. / BREITE STR.,1,52.5702934,13.40813639999999
BERLINER STR. / ELSA-BRÄNDSTRÖM-STR.,3,52.5597275,13.421041800000012
BERLINER STR. / FLORASTR.,1,52.5655031,13.404053299999987
BERLINER STR. / GRANITZSTR. / KISSINGENSTR.,2,52.5670918,13.42055019999998
BERLINER STR. / HADLICHSTR.,2,52.5697309,13.415228299999967
BREITE STR.,8,52.5702934,13.40813639999999
BUCHHOLZER STR.,1,52.58754399999999,13.41231330000005
GRANITZSTR.,1,52.56971309999999,13.420066399999996
KASTANIENALLEE,1,52.5912713,13.386481000000003
PANKOWER STR. / PASEWALKER STR.,1,52.5858001,13.429273999999964
PASEWALKER STR.,1,52.5858001,13.429273999999964
PRENZLAUER PROMENADE,3,52.5674484,13.427729
BLANKENBURGER WEG / PASEWALKER STR.,1,52.58954,13.43045200000006
BLANKENFELDER STR. / ROSENTHALER WEG,2,52.6054026,13.41638469999998
BLANKENFELDER STR.,2,52.605605,13.421426500000052
ROSENTHALER WEG,2,52.6054026,13.41638469999998
WILHELMSRUHER DAMM / FRIEDRICH-ENGELS-STR. / HAUPTSTR.,1,52.60716490000001,13.433459500000026
CUNISTR. / ROSENTHALER WEG,1,52.6054026,13.41638469999998
DIETZGENSTR.,2,52.5911456,13.402218700000049
KISSINGENSTR. / PRENZLAUER PROMENADE,1,52.567903,13.427151999999978
BLANKENFELDER CHAUSSEE,1,52.6118289,13.396739000000025
HAUPTSTR. / LESSINGSTR.,1,52.590078,13.365079700000024
HEINRICH-MANN-STR.,1,52.5725193,13.394161199999985
BERLINER STR. / BORKUMSTR.,1,52.5654386,13.416541100000018
GERMANENSTR.,1,52.58107949999999,13.375681799999938
TRIFTSTR.,1,52.611667,13.430965700000002
ESCHENGRABEN,1,52.55617729999999,13.420761699999957
GRABBEALLEE / MAJAKOWSKIRING,1,52.5744596,13.403247800000031
SCHILDOWER STR.,1,52.6266075,13.384607200000005
SCHÖNERLINDER STR.,1,52.6319782,13.437832200000003
SCHÖNHOLZER STR.,1,52.5700416,13.399903900000027
HERTZSTR.,1,52.5852021,13.36262750000003
KALVINISTENWEG / BLANKENFELDER STR.,1,52.605605,13.421426500000052
OSSIETZKYSTR. / WOLFSHAGENER STR.,1,52.5734797,13.413129499999968
BLANKENBURGER STR. / DIETZGENSTR. / OSSIETZKYPLATZ,2,52.5814681,13.403661599999964
PAULE-PARK / MÜHLENSTR. / BREITE STR.,2,52.5702934,13.40813639999999
KOPENHAGENER STR.,2,52.5824631,13.364578700000038
EDELWEIßSTR. / HAUPTSTR.,1,52.60716490000001,13.433459500000026
FLORASTR. / GRUNOWSTR.,1,52.5679102,13.409256199999959
KALVINISTENWEG,1,52.6037238,13.426647300000013
KGA GARTENFREUNDE NORDEND / DIETZGENSTR. / STRAßE 52A,1,52.5650445,13.442768900000033
KRÄUTERWEG,1,52.6008376,13.392396800000029
NEUMANNSTR.,2,52.5612108,13.421902100000011
NEUMANNSTR. / SCHONENSCHE STR.,1,52.5541074,13.419616899999937
WACKENBERGSTR.,1,52.5864807,13.415485799999942
BLANKENBURGER STR.,3,52.58406979999999,13.417663100000027
BRENNERSTR.,1,52.558747,13.407033899999988
WILHELM-KUHR-STR.,1,52.5685689,13.39504009999996
WOLFSHAGENER STR.,1,52.5734797,13.413129499999968
BLANKENBURGER WEG,1,52.59106920000001,13.433452699999975
MAXIMILIANSTR. / MÜHLENSTR.,1,52.5639915,13.407850000000053
ARKONASTR. / KISSINGENSTR. / STUBNITZSTR.,1,52.5673277,13.416955700000017
HALLANDSTR. / NEUMANNSTR.,1,52.5612108,13.421902100000011
PLATANENSTR. / TRESKOWSTR.,1,52.5834337,13.394252100000017
FONTANESTR. / HERTZSTR.,1,52.585504,13.359643000000005
SPIEKERMANNSTR.,1,52.55384489999999,13.426692000000003
TALSTR. / THULESTR.,1,52.5550965,13.42217729999993
VINETASTR.,1,52.5587611,13.419515700000034
WALTER-FRIEDRICH-STR.,1,52.6323439,13.494718499999976
ALT-BUCH / WILTBERGSTR. / WALTER-FRIEDRICH-STR.,2,52.6323439,13.494718499999976
KAROWER CHAUSSEE,2,52.6278216,13.497668500000032
SCHWANEBECKER CHAUSSEE,2,52.6337607,13.511311100000057
