Location,Number,Latitude,Longitude
GOETHESTR.,1,52.54995,13.43507999999997
BORNHOLMER STR. / SCHÖNHAUSER ALLEE / WISBYER STR.,4,52.54114,13.440090000000055
CANTIANSTR. / SCHÖNHAUSER ALLEE / TOPSSTR.,1,52.54114,13.440090000000055
DÄNENSTR. / SCHÖNHAUSER ALLEE / SCHÖNHAUSER-ALLEE-BRÜCKE,1,52.54114,13.440090000000055
DANZIGER STR. / EBERSWALDER STR. / KASTANIENALLEE / PAPPELALLEE / 
SCHÖNHAUSER AL,7,52.54114,13.440090000000055
DANZIGER STR. / KNAACKSTR. / LYCHENER STR.,1,52.5440919,13.417633600000045
EBERSWALDER STR.,1,52.5412876,13.408222000000023
GNEISTSTR. / SCHÖNHAUSER ALLEE,1,52.54311000000001,13.413090000000011
GREIFENHAGENER STR. / WICHERTSTR.,1,52.54824,13.42123879999997
GRELLSTR. / PRENZLAUER ALLEE / WICHERTSTR.,1,52.54114,13.440090000000055
KASTANIENALLEE,2,52.53821,13.408819999999992
LOTTUMSTR. / SCHÖNHAUSER ALLEE,2,52.54311000000001,13.413090000000011
NEUMANNSTR. / STAHLHEIMER STR. / WISBYER STR.,1,52.552507,13.417846999999938
OSTSEESTR. / PRENZLAUER ALLEE / PRENZLAUER PROMENADE / WISBYER STR.,1,52.552507,13.417846999999938
PRENZLAUER ALLEE,2,52.53895000000001,13.423540000000003
SCHÖNHAUSER ALLEE,8,52.54311000000001,13.413090000000011
SEELOWER STR. / SCHIVELBEINER STR.,1,52.5509105,13.408478999999943
WICHERTSTR.,1,52.54824,13.42123879999997
WISBYER STR.,1,52.552507,13.417846999999938
DANZIGER STR.,1,52.5354,13.433150000000069
DUNCKERSTR. / STARGARDER STR.,1,52.54554479999999,13.420037500000035
GLEIMSTR. / SCHÖNHAUSER ALLEE / STARGARDER STR.,1,52.54114,13.440090000000055
SCHWEDTER STR.,2,52.5450965,13.401978500000041
ERICH-WEINERT-STR. / STAHLHEIMER STR.,1,52.5502921,13.422595699999988
BORNHOLMER STR.,2,52.5539032,13.407826999999997
AHLBECKER STR. / PRENZLAUER ALLEE,1,52.53895000000001,13.423540000000003
DUNCKERSTR. / ERICH-WEINERT-STR.,2,52.54795,13.427729999999997
DUNCKERSTR. / WICHERTSTR.,1,52.54824,13.42123879999997
SEELOWER STR. / PAUL-ROBESON-STR.,1,52.5527097,13.408820500000047
CANTIANSTR.,1,52.5450248,13.411017600000037
DRIESENER STR.,1,52.55206,13.405529999999999
HUMANNPLATZ / STAHLHEIMER STR. / WICHERTSTR.,1,52.54824,13.42123879999997
KOLLWITZSTR. / METZER STR.,1,52.53181,13.41635999999994
BERNAUER STR. / EBERSWALDER STR. / SCHWEDTER STR.,1,52.5450965,13.401978500000041
DANZIGER STR. / GREIFSWALDER STR.,2,52.536151,13.433062999999947
DANZIGER STR. / PRENZLAUER ALLEE,1,52.539179,13.424244000000044
DIESTERWEGSTR. / PRENZLAUER ALLEE / STARGARDER STR.,1,52.54114,13.440090000000055
ERICH-WEINERT-STR. / GREIFSWALDER STR. / THOMAS-MANN-STR.,2,52.54263,13.446270000000027
GREIFSWALDER STR.,8,52.53772,13.435410000000047
GREIFSWALDER STR. / HUFELANDSTR. / MARIENBURGER STR.,2,52.534408,13.425653300000022
GREIFSWALDER STR. / MICHELANGELOSTR. / OSTSEESTR.,1,52.5483,13.437400000000025
PRENZLAUER ALLEE,1,52.53895000000001,13.423540000000003
STORKOWER STR.,3,52.53582,13.449169999999981
STORKOWER STR. / LANDSBERGER ALLEE,2,52.52964249999999,13.456432500000005
FRÖBELSTR. / PRENZLAUER ALLEE / RAUMERSTR.,1,52.54114,13.440090000000055
THOMAS-MANN-STR.,1,52.54263,13.446270000000027
BELFORTER STR. / HEINRICH-ROLLER-STR. / PRENZLAUER ALLEE,1,52.53895000000001,13.423540000000003
LANDSBERGER ALLEE,1,52.52861,13.453930000000014
HERMANN-BLANKENSTEIN-STR.,1,52.5237802,13.461518699999942
IMMANUELKIRCHSTR.,1,52.53256,13.424600000000055
PAUL-HEYSE-STR. / CONRAD-BLENKLE-STR.,2,52.5310156,13.446805400000017
DANZIGER STR. / RYKESTR.,1,52.5369524,13.421218400000043
ODERBRUCHSTR.,1,52.53082999999999,13.461070000000063
MARIENBURGER STR. / WINSSTR.,2,52.5340451,13.425595799999996
HANS-OTTO-STR. / HUFELANDSTR.,1,52.53156,13.433330000000069
HERMANN-BLANKENSTEIN-STR. / RICHARD-ERMISCH-STR.,1,52.52153,13.45911000000001
ESMARCHSTR.,1,52.53245,13.43157999999994
CHRISTBURGER STR. / WINSSTR.,1,52.5340451,13.425595799999996
STORKOWER STR. / SYRINGENWEG,1,52.53215,13.457449999999994
DANZIGER STR. / EUGEN-SCHÖNHAAR-STR.,1,52.54114,13.440090000000055
HOSEMANNSTR. / SCHIERITZSTR.,1,52.5455701,13.440600000000018
MANDELSTR. / SCHIERITZSTR.,1,52.5455701,13.440600000000018
JAMES-HOBRECHT-STR.,JAMES-HOBRECHT-STR.,52.521558,13.46769310000002
