Location,Number,Latitude,Longitude
ALT-TEGEL / BERLINER STR. / BERNSTORFFSTR.,1,52.5907154,13.285148400000026
AROSER ALLEE / LINDAUER ALLEE,1,52.57456020000001,13.345942499999978
AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,3,52.5714601,13.330780499999946
BERLINER STR. / VEITSTR.,1,52.5858333,13.283881699999938
BERNAUER STR.,2,52.5676612,13.257882699999982
EICHBORNDAMM,4,52.58201680000001,13.319182700000056
KAPWEG,1,52.5623689,13.3285846
KIENHORSTSTR.,2,52.5738663,13.323094200000014
KÖGELSTR. / OLLENHAUERSTR.,2,52.5714601,13.330780499999946
OLLENHAUERSTR.,3,52.5714601,13.330780499999946
ROEDERNALLEE,1,52.5848088,13.342436099999986
SCHARNWEBERSTR.,6,52.56591710000001,13.320234300000038
WALDSTR.,1,52.5758277,13.323315999999977
WITTESTR.,1,52.57797619999999,13.302877999999964
AROSER ALLEE / EMMENTALER STR. / GOTTHARDSTR.,2,52.5664246,13.340844999999945
BERNAUER STR. / STERKRADER STR.,1,52.5759663,13.284987099999967
GOTTHARDSTR.,1,52.5664246,13.340844999999945
GRUßDORFSTR.,1,52.5887588,13.2863155
AM TEGELER HAFEN,1,52.589921,13.278500699999995
GORKISTR. / ZIEKOWSTR.,1,52.590484,13.291252999999983
SCHARNWEBERSTR. / SCHILLINGSTR.,1,52.5683526,13.321216700000036
BUDDESTR.,2,52.590458,13.287176999999929
LINDAUER ALLEE / OLLENHAUERSTR. / WALDSTR.,1,52.5758277,13.323315999999977
GENERAL-BARBY-STR. / SCHARNWEBERSTR.,1,52.56591710000001,13.320234300000038
ZUFAHRT Z. FLUGHAFEN TEGEL,1,52.5516142,13.294100299999968
BERLINER STR. / GRUßDORFSTR.,1,52.5887588,13.2863155
MIRAUSTR.,2,52.58444249999999,13.308919100000026
SCHULSTR. / TRESKOWSTR.,1,52.5874466,13.282863300000031
TRESKOWSTR.,1,52.5874466,13.282863300000031
GRAF-HAESELER-STR. / SCHARNWEBERSTR.,1,52.56591710000001,13.320234300000038
KIENHORSTSTR. / OLLENHAUERSTR.,1,52.5714601,13.330780499999946
OESERSTR. / STILLACHZEILE / ZIEKOWSTR.,1,52.59138129999999,13.292023200000017
KURT-SCHUMACHER-DAMM / OLLENHAUERSTR. / SCHARNWEBERSTR. / KURT-
SCHUMACHER-PLATZ,1,52.559366,13.315022799999952
BERLINER STR. / BERNAUER STR. / HOLZHAUSER STR. / SEIDELSTR. / BERNHARD-
LICHTENB,2,52.566667,13.333333000000039
ANTONIENSTR. / EICHBORNDAMM / MIRAUSTR.,1,52.566667,13.333333000000039
GORKISTR. / MIRAUSTR.,1,52.58444249999999,13.308919100000026
AUGUSTE-VIKTORIA-ALLEE / GENERAL-BARBY-STR.,1,52.57182,13.31830519999994
OTISSTR. / QUÄKERSTR.,2,52.575379,13.305826000000025
BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1,52.589921,13.278500699999995
KAROLINENSTR.,1,52.5949669,13.27933239999993
OTISSTR. / SEIDELSTR. / ALLÉE ST. EXUPÉRY,1,52.566667,13.333333000000039
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,1,52.566667,13.333333000000039
BERLINER STR. / BRUNOWSTR.,1,52.587151,13.28029349999997
FLUGHAFEN TEGEL,9,52.5588327,13.28843740000002
GOTTHARDSTR. / KAPWEG / SCHARNWEBERSTR.,2,52.56591710000001,13.320234300000038
THYSSENSTR.,1,52.57999299999999,13.34284189999994
HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB 
AUTOBAHNZUBRINGER HAMBURG /,2,52.53962070000001,13.29504929999996
AN DER WILDBAHN,1,52.609015,13.24041299999999
ELCHDAMM,1,52.6000637,13.230234600000017
OLLENHAUERSTR. / VON-DER-GABLENTZ-STR.,1,52.565825,13.32561880000003
TITUSWEG / WAIDMANNSLUSTER DAMM / ZIEKOWSTR.,1,52.59138129999999,13.292023200000017
BONIFAZIUSSTR. / SANDGRASWEG / WAIDMANNSLUSTER DAMM,1,52.6004093,13.302797800000008
MEDEBACHER WEG,1,52.5869872,13.280638899999985
SILBERHAMMERWEG,1,52.6199074,13.226997200000028
BERLINER STR.,1,52.61996389999999,13.313619399999993
DANNENWALDER WEG,2,52.5922048,13.351479799999993
DANNENWALDER WEG / TREUENBRIETZENER STR. / WILHELMSRUHER DAMM,1,52.5964179,13.350971800000025
EICHBORNDAMM / ORANIENBURGER STR. / WILHELMSRUHER DAMM,4,52.5964179,13.350971800000025
EICHHORSTER WEG,1,52.6000406,13.341211599999951
EMMENTALER STR.,2,52.570211,13.360301700000036
EMMENTALER STR. / THURGAUER STR.,1,52.5705994,13.356296899999961
FROHNAUER STR.,2,52.6232114,13.292668700000036
HOLLÄNDERSTR. / MARKSTR.,3,52.5609988,13.364729699999998
MARKSTR. / PANKOWER ALLEE / RESIDENZSTR.,1,52.56681589999999,13.36282970000002
ORANIENDAMM,2,52.6093453,13.321311599999945
SENFTENBERGER RING,4,52.6008789,13.35717939999995
SENFTENBERGER RING / WILHELMSRUHER DAMM,1,52.5964179,13.350971800000025
ZABEL-KRÜGER-DAMM,5,52.6121068,13.339747699999975
ALT-WITTENAU,2,52.5913563,13.328510199999982
AM VIERRUTENBERG / ZABEL-KRÜGER-DAMM,1,52.6121068,13.339747699999975
EICHHORSTER WEG / WITTENAUER STR.,1,52.603983,13.335771000000022
KÜHNEMANNSTR. / SCHWABSTR. / PROVINZSTR.,1,52.5666786,13.378583100000014
ORANIENBURGER CHAUSSEE / SCHÖNFLIEßER STR.,1,52.566667,13.333333000000039
ORANIENDAMM / WAIDMANNSLUSTER DAMM / ZABEL-KRÜGER-DAMM,3,52.6121068,13.339747699999975
RESIDENZSTR.,1,52.56681589999999,13.36282970000002
RESIDENZSTR. / SIMMELSTR.,1,52.5653836,13.366688000000067
WILHELMSRUHER DAMM,8,52.5964179,13.350971800000025
HERMSDORFER DAMM,1,52.6105878,13.295507300000054
HERMSDORFER STR. / ORANIENBURGER STR.,1,52.60447199999999,13.326648999999975
SCHLUCHSEESTR.,1,52.6062917,13.334203500000058
RASCHDORFFSTR.,1,52.569949,13.368966999999998
REGINHARDSTR.,1,52.5657586,13.373166900000001
DANNENWALDER WEG / FINSTERWALDER STR. / WILHELMSRUHER DAMM,2,52.5964179,13.350971800000025
ROEDERNALLEE / WILHELM-GERICKE-STR.,1,52.5840701,13.336356300000034
QUICKBORNER STR.,1,52.6086348,13.361810399999968
WILHELM-GERICKE-STR.,1,52.5840701,13.336356300000034
BÜDNERRING,1,52.5727515,13.37074789999997
BURGFRAUENSTR. / IM FISCHGRUND / FISCHGRUNDBRÜCKE,1,52.566667,13.333333000000039
SPIEßWEG,1,52.5931517,13.32796959999996
AM BIBERBAU / BURGFRAUENSTR.,1,52.62659540000001,13.302359300000035
NACH DER HÖHE,1,52.60521190000001,13.31753290000006
STARGARDTSTR.,1,52.5663089,13.360902500000066
GORKISTR. / AM STEINBERGPARK,1,52.5950573,13.312928899999974
LENGEDER STR.,1,52.58355359999999,13.355301499999996
HOLLÄNDERSTR. / WINKELRIEDSTR.,1,52.5610164,13.356698199999983
AM POLOPLATZ,1,52.644939,13.287200900000016
FLOTTENSTR.,1,52.57731330000001,13.35829000000001
