Location,Number,Latitude,Longitude
ANSBACHER STR.,2,52.50013,13.340529999999944
BAYREUTHER STR. / KLEISTSTR. / WITTENBERGPLATZ,3,52.502089,13.342896300000007
BÜLOWSTR. / FROBENSTR.,2,52.49786,13.35895000000005
GOEBENSTR. / PALLASSTR. / POTSDAMER STR.,1,52.49932,13.363010000000031
HOHENSTAUFENSTR. / MARTIN-LUTHER-STR.,1,52.48934360000001,13.35254800000007
POTSDAMER STR.,2,52.49932,13.363010000000031
AN DER URANIA / KLEISTSTR. / LIETZENBURGER STR. / MARTIN-LUTHER-STR.,2,52.48934360000001,13.35254800000007
BÜLOWSTR. / STEINMETZSTR.,2,52.4952723,13.36335489999999
EISENACHER STR.,1,52.4927042,13.34912380000003
GOEBENSTR. / KULMER STR.,1,52.49333000000001,13.365080000000034
MARTIN-LUTHER-STR. / ROSENHEIMER STR.,1,52.49013,13.345530000000053
AKAZIENSTR. / BELZIGER STR.,1,52.48661999999999,13.351530000000025
KLEISTSTR.,2,52.5004913,13.348200399999996
BAYREUTHER STR.,2,52.502077,13.343968000000018
GOEBENSTR. / STEINMETZSTR.,1,52.4952723,13.36335489999999
MAAßENSTR. / NOLLENDORFSTR.,1,52.49887,13.353540000000066
ASCHAFFENBURGER STR. / BAYERISCHER PLATZ,1,52.48895539999999,13.340773600000034
KARL-SCHRADER-STR. / ROSENHEIMER STR. / SCHWÄBISCHE STR.,1,52.48934360000001,13.35254800000007
TAUENTZIENSTR.,1,52.5032383,13.339329099999986
BUNDESALLEE / GÖRRESSTR. / SARRAZINSTR. / FRIEDRICH-WILHELM-PLATZ,1,52.47237089999999,13.328600999999935
DOMINICUSSTR.,3,52.48222999999999,13.348259999999982
DOMINICUSSTR. / EBERSSTR.,1,52.48113,13.352700000000027
DOMINICUSSTR. / HAUPTSTR.,2,52.481794,13.348375000000033
GRUNEWALDSTR. / MARTIN-LUTHER-STR.,3,52.48934360000001,13.35254800000007
HAUPTSTR.,2,52.4871103,13.356901999999991
HAUPTSTR. / MARTIN-LUTHER-STR.,2,52.47986299999999,13.345946000000026
MARTIN-LUTHER-STR.,3,52.48984,13.345519999999965
RHEINSTR.,1,52.4687233,13.332244899999978
RHEINSTR. / SAARSTR. / SCHMILJANSTR.,2,52.4701574,13.330692399999975
SACHSENDAMM,2,52.47531499999999,13.359747200000015
BELZIGER STR.,1,52.48661999999999,13.351530000000025
DOMINICUSSTR. / FEURIGSTR. / FRITZ-REUTER-STR.,2,52.4807292,13.3491401
HÄHNELSTR. / HAUPTSTR. / SPONHOLZSTR.,1,52.4715091,13.340354400000024
FRIEDRICH-WILHELM-PLATZ,1,52.47237089999999,13.328600999999935
KOLONNENSTR.,2,52.48444,13.364109999999982
RUBENSSTR.,1,52.4687063,13.34399510000003
BADENSCHE STR. / MERANER STR.,2,52.4854268,13.338574900000026
BELZIGER STR. / DOMINICUSSTR. / MARTIN-LUTHER-STR. / JOHN-F.-KENNEDY-
PLATZ,1,52.4854855,13.344951000000037
KATZLERSTR. / YORCKSTR.,3,52.4920418,13.377882199999931
KAUSCHSTR. / GRAZER PLATZ,1,52.4668232,13.346883100000014
MARTIN-LUTHER-STR. / WARTBURGSTR.,1,52.4870743,13.345326999999997
RUBENSSTR. / TRAEGERSTR.,1,52.4760346,13.343444500000032
WIESBADENER STR.,1,52.4721737,13.313285299999961
BORNSTR. / SCHLOßSTR.,1,52.48934360000001,13.35254800000007
HANDJERYSTR.,1,52.4734457,13.332688100000041
STUBENRAUCHSTR.,2,52.4735284,13.32414330000006
BUNDESALLEE / RHEINSTR. / SCHLOßSTR. / SCHÖNEBERGER STR. / WALTHER-
SCHREIBER-PLA,1,52.48934360000001,13.35254800000007
DICKHARDTSTR. / HEDWIGSTR. / LAUTERSTR. / RHEINSTR. / SCHMARGENDORFER 
STR. / BRE,1,52.48934360000001,13.35254800000007
BUNDESALLEE / LEFÈVRESTR.,2,52.48934360000001,13.35254800000007
GRAZER DAMM / VORARLBERGER DAMM / A 100 BAB / 100 AK SCHÖNEBERG EINF,1,52.48934360000001,13.35254800000007
HAUPTSTR. / KAISER-WILHELM-PLATZ,1,52.4864086,13.35727769999994
HAUPTSTR. / WEXSTR. / A 100 BAB / INNSBRUCKER PLATZ / 100 AS INNSBRUCKER (,1,52.48934360000001,13.35254800000007
BADENSCHE STR. / INNSBRUCKER STR.,1,52.4832139,13.34228840000003
CHERUSKERSTR. / CZEMINSKISTR. / KOLONNENSTR. / LEBERSTR. / JULIUS-LEBER-,2,52.48934360000001,13.35254800000007
DICKHARDTSTR. / SAARSTR.,2,52.46805089999999,13.33509349999997
WILHELM-KABUS-STR.,1,52.4798226,13.365483499999982
RIEMENSCHNEIDERWEG,1,52.4647401,13.349624800000015
BUNDESALLEE / FRÖAUFSTR.,1,52.4671084,13.326421399999958
LANGENSCHEIDTSTR.,1,52.48946,13.361409999999978
OTZENSTR. / RUBENSSTR.,1,52.4687063,13.34399510000003
ALBOINSTR.,ALBOINSTR.,52.4630512,13.369971599999985
