Location,Number,Latitude,Longitude
ALTSTÄDTER RING / KLOSTERSTR. / SEEGEFELDER STR. / STABHOLZGARTEN,5,52.5342394,13.201288500000032
ASKANIERRING,1,52.5478472,13.193771900000002
BREITE STR.,1,52.5366694,13.205054000000018
CARL-SCHURZ-STR.,2,52.5371637,13.203180999999972
FALKENSEER CHAUSSEE,5,52.5501446,13.170506499999988
FALKENSEER CHAUSSEE / STADTRANDSTR.,1,52.553441,13.153634000000011
FALKENSEER CHAUSSEE / STEIGERWALDSTR.,1,52.5500657,13.18388589999995
FALKENSEER CHAUSSEE / WASSERWERKSTR. / AM KIESTEICH,1,52.54716010000001,13.162180499999977
FALKENSEER DAMM / FLANKENSCHANZE,1,52.5426156,13.19811930000003
FLANKENSCHANZE,1,52.5426156,13.19811930000003
GARTENFELDER STR.,3,52.5442287,13.244880800000033
GOLTZSTR. / STREITSTR.,1,52.5601102,13.208062700000028
NEUENDORFER STR.,1,52.546893,13.209222400000044
NIEDERNEUENDORFER ALLEE,1,52.5761281,13.211318500000061
NONNENDAMMALLEE,3,52.5379106,13.25217710000004
NONNENDAMMALLEE / ROHRDAMM,1,52.5386289,13.263942199999974
SCHÖNWALDER ALLEE,1,52.5774756,13.180465799999979
SEEGEFELDER STR.,5,52.5382316,13.183817699999963
SEEGEFELDER STR. / STAAKENER STR.,1,52.5358127,13.173781100000042
STREITSTR.,1,52.5601102,13.208062700000028
ALTSTÄDTER RING,1,52.53732489999999,13.200540300000057
ELISABETHSTR. / LASIUSZEILE / SCHÖNWALDER STR.,1,52.5479935,13.201101999999992
ELSTALER STR.,1,52.5376165,13.18496170000003
FALKENSEER CHAUSSEE / SIEGENER STR. / WESTERWALDSTR.,1,52.5511675,13.178097500000035
GALENSTR.,1,52.5385684,13.197292400000038
IM SPEKTEFELD,1,52.5489161,13.157524100000046
MORITZSTR.,1,52.5385135,13.200969999999984
FALKENSEER CHAUSSEE / ZEPPELINSTR.,1,52.547562,13.184733000000051
HUGO-CASSIRER-STR.,1,52.5586582,13.218596100000013
JUGENDWEG / ROHRDAMM,1,52.5386289,13.263942199999974
SIEGENER STR.,1,52.5462936,13.176922399999967
EISWERDERSTR.,1,52.54747039999999,13.217034900000044
FALKENSEER DAMM,1,52.5429117,13.198591999999962
HAKENFELDER STR.,1,52.5654899,13.203046699999959
TELTOWER STR.,1,52.52597,13.217318200000022
CAUTIUSSTR.,1,52.5621643,13.202643800000033
FALKENSEER CHAUSSEE / HOHENZOLLERNRING,1,52.546422,13.190894000000071
HAKENFELDER STR. / MERTENSSTR. / NIEDERNEUENDORFER ALLEE / 
STREITSTR.,1,52.5601102,13.208062700000028
OSNINGWEG / PIONIERSTR.,1,52.5536773,13.177476399999932
HOHENZOLLERNRING / SCHÖNWALDER ALLEE / FEHRBELLINER TOR / 
KLINKEPLATZ,1,52.5340803,13.181716199999983
GALENSTR. / SEEGEFELDER STR. / AM BAHNHOF SPANDAU,2,52.5344694,13.194846999999982
AM FORSTACKER / HAKENFELDER STR.,1,52.5654899,13.203046699999959
OLGA-TSCHECHOWA-STR.,1,52.5458307,13.227066199999967
OHMSTR. / SIEMENSDAMM,1,52.5352843,13.27706420000004
AM JULIUSTURM / BEHNITZ / BREITE STR.,1,52.5366694,13.205054000000018
FELDSTR. / NEUENDORFER STR. / SCHÖNWALDER STR.,1,52.5479935,13.201101999999992
JUNGFERNHEIDEWEG / NONNENDAMMALLEE / REISSTR. / SIEMENSDAMM,2,52.5352843,13.27706420000004
PIONIERSTR.,1,52.5536773,13.177476399999932
RUSTWEG / AM TEUFELSBRUCH,1,52.57440039999999,13.213820700000042
ACHENBACHSTR. / FRIEDRICHSTR.,1,52.5412995,13.203916400000026
GOLDBECKWEG / PULVERMÜHLENWEG,1,52.5466735,13.227511499999991
BRAUEREIHOF,1,52.54688969999999,13.210893100000021
RAUCHSTR. / STREITSTR.,1,52.5601102,13.208062700000028
BLASEWITZER RING,2,52.5203109,13.174745199999961
BLASEWITZER RING / MAULBEERALLEE / SEEBURGER WEG,2,52.5240754,13.175442299999986
BRUNSBÜTTELER DAMM,8,52.53324259999999,13.159924799999999
BRUNSBÜTTELER DAMM / KLOSTERSTR. / RUHLEBENER STR.,4,52.5282324,13.20900370000004
EICHELMATENWEG,1,52.4602594,13.145584600000007
GATOWER STR.,1,52.5048934,13.180061300000034
GATOWER STR. / HEERSTR.,1,52.51553999999999,13.184843
HEERSTR.,1,52.518422,13.170821199999978
HEERSTR. / MAGISTRATSWEG / SEMMELLÄNDERWEG,2,52.5187124,13.158924899999988
KLADOWER DAMM,1,52.46748729999999,13.166088400000035
KLOSTERSTR. / SEDANSTR.,1,52.5313773,13.198728599999981
PICHELSDORFER STR.,1,52.5203468,13.197864600000003
PICHELSDORFER STR. / WEVERSTR.,1,52.51944229999999,13.195727600000055
SAKROWER LANDSTR.,1,52.4487991,13.129452899999933
SEEBURGER STR.,2,52.5274361,13.186783800000057
WILHELMSTR.,2,52.5184978,13.182879599999978
BRUNSBÜTTELER DAMM / MAGISTRATSWEG,1,52.532982,13.157871999999998
BRUNSBÜTTELER DAMM / NAUENER STR.,2,52.53627909999999,13.18205690000002
PILLNITZER WEG / MAGISTRATSWEG / MAULBEERALLEE,1,52.5239912,13.167832299999986
SANDSTR.,2,52.5172584,13.168532400000004
SEEGEFELDER WEG / KLOSTERBUSCHWEG / AM KIESTEICH,3,52.54716010000001,13.162180499999977
ADAMSTR. / BETCKESTR. / PICHELSDORFER STR.,1,52.5203468,13.197864600000003
NENNHAUSER DAMM,1,52.5298212,13.133281300000021
ALTONAER STR.,1,52.53249169999999,13.188220199999932
GRUNEWALDSTR. / RUHLEBENER STR.,1,52.530562,13.204022000000009
MAGISTRATSWEG / OBSTALLEE,1,52.52135,13.165868700000033
MAULBEERALLEE / RÄCKNITZER STEIG,1,52.5224392,13.17021120000004
STRAßE 339 / ZEESTOWER WEG,1,52.54723329999999,13.135141100000055
FRANZSTR. / WÖRTHER STR.,1,52.5340803,13.181716199999983
ADAMSTR. / FÖLDERICHSTR.,1,52.5214406,13.194018400000004
AUGUSTE-PICCARD-STR.,1,52.4734808,13.12333030000002
JULES-VERNE-STR.,1,52.47069250000001,13.129418900000019
KGA AN DER LAZARUSSTR.,1,52.5306811,13.173972899999967
ALTONAER STR. / KLOSTERSTR.,1,52.5319706,13.197590900000023
FOLKUNGERSTR.,1,52.5118916,13.178079900000057
PICHELSDORFER STR. / PLATHWEG / THARSANDERWEG / SÜDPARK,1,52.51541479999999,13.193095800000037
STRAßE 339,1,52.547123,13.126583399999959
