Location,Number,Latitude,Longitude
ALBRECHTSTR.,2,52.45173,13.33384000000001
ALBRECHTSTR. / DÜPPELSTR. / KUHLIGKSHOFSTR.,1,52.4555933,13.32127730000002
ATTILASTR. / CRAILSHEIMER STR. / SCHÜNEMANNWEG,1,52.44441,13.352550000000065
AUGUSTASTR. / HINDENBURGDAMM / KLINGSORSTR.,1,52.44915,13.327369999999974
BERGSTR.,1,52.45836,13.33672009999998
BIRKBUSCHSTR. / KLINGSORSTR.,1,52.447523,13.32635300000004
BIRKBUSCHSTR. / WOLFENSTEINDAMM / CARMERPLATZ,2,52.4525543,13.320621899999992
BISMARCKSTR.,2,52.45727,13.33883000000003
FABECKSTR. / TIETZENWEG / UNTER DEN EICHEN,1,52.4473599,13.29802589999997
GRUNEWALDSTR.,1,52.45865,13.313570000000027
HINDENBURGDAMM,3,52.4425132,13.315661699999964
SCHILDHORNSTR. / SCHLOßSTR.,1,52.4563661,13.332496600000013
SCHLOßSTR.,6,52.45838,13.320799999999963
SIEMENSSTR.,1,52.44311860000001,13.334983899999997
STEGLITZER DAMM,3,52.44970000000001,13.347679999999968
ALSENSTR. / FEUERBACHSTR. / FREGESTR. / SCHÖNEBERGER STR.,1,52.4563661,13.332496600000013
ATTILASTR.,1,52.44511000000001,13.356970000000047
BERGSTR. / BISMARCKSTR.,1,52.45855,13.339175000000068
DÜPPELSTR.,1,52.45882,13.32501000000002
HALSKESTR. / MUNSTERDAMM / STEGLITZER DAMM,4,52.44970000000001,13.347679999999968
GUTSMUTHSSTR. / SCHLOßSTR.,1,52.4563661,13.332496600000013
SCHLOßSTR. / ZIMMERMANNSTR.,1,52.46023040000001,13.320366799999988
ALBRECHTSTR. / STINDESTR.,1,52.44732,13.338549999999941
FEUERBACHBRÜCKE,1,52.4563661,13.332496600000013
THORWALDSENSTR.,1,52.4622432,13.343964300000039
AHORNSTR. / LEPSIUSSTR.,1,52.4607816,13.317073599999958
GARDESCHÜTZENWEG / GELIEUSTR. / HINDENBURGDAMM / HÄNDELPLATZ,1,52.4563661,13.332496600000013
BISMARCKSTR. / FEUERBACHSTR. / KNAUSSTR. / KNAUSPLATZ,1,52.4648175,13.339247500000056
HACKERSTR.,1,52.46511,13.32334000000003
ALBRECHTSTR. / GRUNEWALDSTR. / SCHLOßSTR.,3,52.4563661,13.332496600000013
ALBRECHTSTR. / HEESESTR. / SCHÜTZENSTR.,2,52.4530586,13.32207399999993
CHLUMER STR. / GARDESCHÜTZENWEG,1,52.4464754,13.30604459999995
HOLSTEINISCHE STR. / SCHÖNEBERGER STR.,1,52.4563661,13.332496600000013
MARKELSTR.,1,52.4649431,13.321678099999986
TIETZENWEG,1,52.4420637,13.305631100000028
ATTILASTR. / MERGENTHEIMER STR.,1,52.44381000000001,13.356430000000046
LEYDENALLEE / SCHÜTZENSTR.,1,52.4530586,13.32207399999993
SCHLOßSTR. / WAETZOLDTSTR.,1,52.4535949,13.313902699999971
ALT-LANKWITZ / EDENKOBENER WEG / KAISER-WILHELM-STR.,1,52.4361344,13.345378299999993
DILLGESSTR. / KAISER-WILHELM-STR. / DILLGESPARK,3,52.4563661,13.332496600000013
GALLWITZALLEE,3,52.4289049,13.346876399999928
JUNGFERNSTIEG / KÖNIGSBERGER STR. / MORGENSTERNSTR.,1,52.4267882,13.320740300000011
KAISER-WILHELM-STR.,1,52.4361344,13.345378299999993
KAISER-WILHELM-STR. / LEONORENSTR. / PAUL-SCHNEIDER-STR.,6,52.4349958,13.348432799999955
KAISER-WILHELM-STR. / SEYDLITZSTR.,1,52.432196,13.338684999999941
KAMENZER DAMM / WEDELLSTR.,1,52.434192,13.35905200000002
LEONORENSTR.,1,52.4408871,13.342438799999968
MALTESERSTR.,1,52.4263321,13.355982600000061
OSTPREUßENDAMM,3,52.424944,13.315641199999959
SIEMENSSTR.,1,52.44311860000001,13.334983899999997
EISWALDTSTR. / EMMICHSTR. / MALTESERSTR.,1,52.4263321,13.355982600000061
KAMENZER DAMM,1,52.4343398,13.360093099999972
CARSTENNSTR. / FINCKENSTEINALLEE / RINGSTR.,1,52.43834709999999,13.296793999999977
DRAKESTR.,2,52.43845830000001,13.30169950000004
PLATZ DES 4. JULI,1,52.4224264,13.286665699999958
KÖNIGSBERGER STR.,2,52.43061729999999,13.318471300000056
OSTPREUßENDAMM / LIPPSTÄDTER STR.,1,52.4563661,13.332496600000013
AMALIENSTR. / KAISER-WILHELM-STR.,1,52.4361344,13.345378299999993
HOCHBAUMSTR.,1,52.4295176,13.281474000000003
BÄKESTR. / OSTPREUßENDAMM / RITTERSTR.,1,52.4323995,13.322008299999993
MALTESERSTR. / PREYSINGSTR. / KGA WALTERSHAUSER STR.,1,52.4221491,13.34637029999999
LAUSANNER STR.,1,52.42686880000001,13.299150899999972
LINDENSTR. / OSTPREUßENDAMM / WISMARER STR.,1,52.4201032,13.302061600000002
OSDORFER STR. / SCHEELESTR. / RÉAUMURSTR.,1,52.4563661,13.332496600000013
OSTPREUßENDAMM / WALTROPER WEG,1,52.4190354,13.30749609999998
DEVRIENTWEG / OSTPREUßENDAMM,1,52.424944,13.315641199999959
BRIEGER STR. / WEDELLSTR.,1,52.4331657,13.359049700000014
BÄKESTR. / HINDENBURGDAMM / KARWENDELSTR.,1,52.4342003,13.30970179999997
OSDORFER STR. / CELSIUSSTR.,2,52.4141146,13.31222839999998
PREYSINGSTR.,1,52.4255085,13.361700100000007
HENLEINWEG / HILDBURGHAUSER STR. / HOCHSTR.,1,52.4205692,13.318263000000002
PROMENADENSTR.,1,52.4326507,13.3241352
