Location,Number,Latitude,Longitude
ALT-TEMPELHOF / TEMPELHOFER DAMM / U-BHF. ALT-TEMPELHOF / DORFAUE 
TEMPELHOF,1,52.47640269999999,13.400745400000005
ESCHERSHEIMER STR. / OBERLANDSTR. / SILBERSTEINSTR.,1,52.4664283,13.431961699999988
FELIXSTR. / GERMANIASTR. / RINGBAHNSTR.,1,52.4684235,13.384887899999967
FRIEDENSTR. / GROßBEERENSTR. / LANKWITZER STR.,2,52.4370916,13.37486100000001
FRIEDRICH-WILHELM-STR. / MANTEUFFELSTR.,2,52.4621563,13.377275800000007
GROßBEERENSTR.,1,52.432498,13.377183599999967
GROßBEERENSTR. / WILHELM-VON-SIEMENS-STR.,1,52.42937879999999,13.381646000000046
KAISERSTR. / RATHAUSSTR.,1,52.44527,13.37949900000001
LANKWITZER STR.,1,52.4370916,13.37486100000001
MARIENDORFER DAMM,1,52.45349110000001,13.384390100000019
OBERLANDSTR.,1,52.464603,13.411035599999991
RINGSTR.,1,52.4445955,13.37181720000001
RIXDORFER STR.,1,52.4466968,13.402092700000026
TEMPELHOFER DAMM,2,52.4694,13.384540000000015
ALT-TEMPELHOF,1,52.46550999999999,13.383479999999963
ATTILASTR.,2,52.45166,13.369789999999966
FRIEDRICH-KARL-STR. / ORDENSMEISTERSTR. / TEMPELHOFER DAMM,3,52.4694,13.384540000000015
KAISERSTR. / MARIENDORFER DAMM / WESTPHALWEG,1,52.4455691,13.390800099999979
MANTEUFFELSTR.,1,52.4621563,13.377275800000007
TEILESTR.,1,52.45979,13.408170000000041
FELIXSTR.,1,52.46282,13.39411999999993
GOTTLIEB-DUNKEL-STR. / SCHAFFHAUSENER STR. / TEMPELHOFER WEG,1,52.45919000000001,13.420830000000024
RINGBAHNSTR. / TEMPELHOFER DAMM,1,52.4694,13.384540000000015
SCHÖNEBERGER STR.,1,52.46805,13.374630000000025
GONTERMANNSTR.,1,52.478049,13.37182000000007
BOELCKESTR.,1,52.478082,13.37712149999993
MANTEUFFELSTR. / RINGBAHNSTR.,1,52.4684235,13.384887899999967
GERSDORFSTR. / KAISERSTR.,3,52.445037,13.374064999999973
ALBRECHTSTR. / FELIXSTR.,1,52.46282,13.39411999999993
BAYERNRING,1,52.48296999999999,13.379459999999995
IMBROSWEG / RIXDORFER STR.,1,52.4466968,13.402092700000026
MUSSEHLSTR.,1,52.4836,13.380789999999934
COLUMBIADAMM,2,52.48396,13.390691999999945
ATTILASTR. / RINGSTR.,1,52.4445955,13.37181720000001
TEMPELHOFER DAMM / PLATZ DER LUFTBRÜCKE,1,52.48378,13.388559999999984
ALARICHSTR. / ARNULFSTR. / ATTILASTR. / MANTEUFFELSTR. / ATTILAPLATZ,1,52.4575526,13.391103199999975
ORDENSMEISTERSTR.,1,52.45753999999999,13.392169999999965
ALBRECHTSTR. / GÄßNERWEG,1,52.4634462,13.374927500000013
ALT-TEMPELHOF / FUHRMANNSTR. / GERMANIASTR. / DORFAUE TEMPELHOF / ST,1,52.4575526,13.391103199999975
EISENACHER STR. / LERCHENWEG / MORSBRONNER WEG,1,52.44539839999999,13.387670100000037
WITTEKINDSTR.,1,52.45873,13.372749999999996
BÄUMERPLAN / WÜSTHOFFSTR. / SPIELPARK BÄUMERPLAN,ZW.WÜSTHOFFS.U.LO,1,52.4575526,13.391103199999975
EHEMALIGER FLUGPLATZ TEMPELHOF,1,52.47640269999999,13.400745400000005
EISENACHER STR. / KOLLOSTR.,1,52.4465866,13.391227699999945
ALT-TEMPELHOF / MANTEUFFELSTR. / SCHÖNEBERGER STR. / BERLINICKEPLATZ,1,52.4661134,13.378520200000025
EINÖDSHOFERWEG / EISENACHER STR. / MONOPOLSTR.,1,52.4508163,13.388351400000033
EISENACHER STR. / KOSLECKWEG / STEINHELLENWEG,1,52.4486026,13.396207600000025
MARKGRAFENSTR. / RATHAUSSTR.,1,52.4454502,13.379475200000002
ALBRECHTSTR. / FRIEDENSPLATZ,1,52.4611009,13.381386700000007
BLUMENTHALSTR.,1,52.46079,13.38083000000006
COLUMBIADAMM / LILIENTHALSTR.,1,52.4857589,13.406944899999985
