Location,Number,Latitude,Longitude
POTSDAMER PLATZ,1,52.50906459999999,13.37469580000004
ALT-MOABIT,3,52.5235587,13.343582200000014
ALT-MOABIT / ZINZENDORFSTR.,1,52.522289,13.331553299999996
BEUSSELSTR. / HUTTENSTR. / TURMSTR.,2,52.52709,13.336673000000019
BEUSSELSTR. / SICKINGENSTR. / SIEMENSSTR.,2,52.5340171,13.289922299999944
EUROPAPLATZ,1,52.5257976,13.369248200000015
GOTZKOWSKYSTR. / LEVETZOWSTR.,1,52.521401,13.333809200000019
HUTTENSTR.,1,52.5282636,13.32039850000001
INVALIDENSTR.,2,52.5281834,13.371493200000032
LEHRTER STR.,1,52.5344,13.358580999999958
RATHENOWER STR.,2,52.529231,13.353300600000011
STROMSTR.,2,52.52771019999999,13.343230800000015
TURMSTR.,1,52.52709,13.336673000000019
BEUSSELBRÜCKE,1,52.5144898,13.35009059999993
HUTTENSTR. / NEUES UFER,1,52.5292517,13.314756200000033
JONASSTR. / THUSNELDA-ALLEE / TURMSTR.,1,52.52709,13.336673000000019
OLDENBURGER STR. / OTTOSTR. / TURMSTR.,1,52.52709,13.336673000000019
STROMSTR. / TURMSTR.,2,52.52709,13.336673000000019
WALDSTR.,2,52.5299773,13.331181199999946
ALT-MOABIT / STROMSTR.,3,52.52771019999999,13.343230800000015
BEUSSELSTR. / WICLEFSTR. / WITTSTOCKER STR.,1,52.5309722,13.326685699999985
GOTZKOWSKYSTR. / ZWINGLISTR.,1,52.5255965,13.331596900000022
LÜBECKER STR. / TURMSTR.,1,52.52625099999999,13.345507999999995
ROSTOCKER STR. / SICKINGENSTR.,1,52.5315219,13.321180300000037
SICKINGENSTR.,3,52.5315219,13.321180300000037
ALT-MOABIT / JAGOWSTR.,1,52.521401,13.333809200000019
ALT-MOABIT / KREFELDER STR. / THUSNELDA-ALLEE,1,52.526022,13.339192000000025
ALT-MOABIT / OTTOSTR.,1,52.5257246,13.335234600000035
TURMSTR. / WILHELMSHAVENER STR.,1,52.5333346,13.341528400000016
BIRKENSTR. / RATHENOWER STR.,1,52.529654,13.35290699999996
BREMER STR. / WICLEFSTR.,1,52.5304498,13.335518500000035
FRIEDRICH-LIST-UFER / RAHEL-HIRSCH-STR. / GUSTAV-HEINEMANN-BRÜCKE,1,52.52282049999999,13.370779500000026
GOTZKOWSKYSTR. / GOTZKOWSKYBRÜCKE,1,52.5227173,13.329374700000017
WASHINGTONPLATZ,1,52.5242055,13.369700299999977
BIRKENSTR. / PUTLITZSTR. / STEPHANSTR. / STROMSTR.,2,52.52771019999999,13.343230800000015
LEHRTER STR. / PERLEBERGER STR.,1,52.53472,13.355137000000013
OTTO-DIX-STR.,1,52.5250906,13.359697600000004
ALT-MOABIT,1,52.5235587,13.343582200000014
ALT-MOABIT / PAULSTR. / RATHENOWER STR.,2,52.529231,13.353300600000011
ALTONAER STR.,2,52.5171386,13.34409089999997
BUDAPESTER STR.,1,52.5057595,13.34144850000007
KIRCHSTR.,1,52.5237833,13.349447599999962
KURFÜRSTENSTR.,5,52.5019637,13.355202599999984
LÜTZOWSTR. / POTSDAMER STR.,1,52.50342200000001,13.366002999999978
POTSDAMER STR.,8,52.50510999999999,13.368200000000002
SCHEIDEMANNSTR.,4,52.51824999999999,13.376009999999951
SCHEIDEMANNSTR. / SIMSONWEG,1,52.5172262,13.375460100000055
STRAßE DES 17. JUNI,3,52.5141267,13.349273799999992
TIERGARTENSTR.,1,52.50957,13.361340000000041
TIERGARTENSTR. / HERBERT-VON-KARAJAN-STR.,1,52.5095588,13.368263899999988
WILLY-BRANDT-STR. / HEINRICH-VON-GAGERN-STR. / PAUL-LÖBE-ALLEE,2,52.51940519999999,13.37351579999995
ALTONAER STR. / BACHSTR. / LESSINGSTR.,1,52.5206829,13.341279100000065
AN DER URANIA / KURFÜRSTENSTR. / SCHILLSTR.,2,52.5037886,13.350388100000032
BISSINGZEILE / POTSDAMER STR.,1,52.50510999999999,13.368200000000002
POTSDAMER STR. / REICHPIETSCHUFER / POTSDAMER BRÜCKE,1,52.5062831,13.368377099999975
POTSDAMER STR. / VARIAN-FRY-STR.,2,52.5085724,13.374265299999934
EICHHORNSTR. / POTSDAMER STR. / BEN-GURION-STR.,1,52.5101127,13.37159250000002
POHLSTR.,1,52.50105,13.364829999999984
POTSDAMER STR. / LUDWIG-BECK-STR.,1,52.5085834,13.373079500000017
ALT-MOABIT / SPENERSTR.,2,52.5212668,13.35295880000001
HELGOLÄNDER UFER / KIRCHSTR. / MOABITER BRÜCKE,1,52.5218639,13.348461499999985
LÜTZOWUFER / LÜTZOWPLATZ / HERKULESBRÜCKE,1,52.5144898,13.35009059999993
POTSDAMER STR. / SCHAROUNSTR.,1,52.5087732,13.369161800000029
ALT-MOABIT / THOMASIUSSTR. / WILSNACKER STR.,1,52.531476,13.35000100000002
BAYREUTHER STR. / KURFÜRSTENSTR.,1,52.5019637,13.355202599999984
EINEMSTR. / LÜTZOWPLATZ,1,52.5039114,13.352223399999957
BACHSTR. / SIEGMUNDS HOF,1,52.5156909,13.335827300000005
MAGNUS-HIRSCHFELD-UFER,1,52.5193412,13.361863299999982
TIERGARTENSTR. / KEMPERPLATZ / BEN-GURION-STR. / TUNNEL TIERGARTEN SPREE,1,52.5144898,13.35009059999993
EICHHORNSTR.,1,52.506395,13.373282000000017
JOSEPH-VON-EICHENDORFF-GASSE,1,52.50802,13.37387000000001
BISSINGZEILE,1,52.50357,13.369979999999941
HÄNDELALLEE / KLOPSTOCKSTR.,1,52.517533,13.342047999999977
ALICE-BEREND-STR. / JOACHIM-KARNATZ-ALLEE,1,52.5195928,13.357160199999953
GENTHINER STR. / KURFÜRSTENSTR.,1,52.5019637,13.355202599999984
ALT-MOABIT / WERFTSTR. / INVALIDENSTR.,1,52.5281834,13.371493200000032
LENNÉSTR.,1,52.5116522,13.375185200000033
