Location,Number,Latitude,Longitude
BAUMSCHULENSTR.,1,52.4641672,13.485351499999979
BRÜCKENSTR.,1,52.5124521,13.417190600000026
DAMMWEG / KÖPENICKER LANDSTR.,1,52.47760299999999,13.478731000000039
DÖRPFELDSTR. / GELLERTSTR.,1,52.4356487,13.544871100000023
ELSENSTR. / AM TREPTOWER PARK,2,52.4925132,13.456405099999984
ELSENSTR. / PUSCHKINALLEE,1,52.492886,13.458806999999979
KIEFHOLZSTR.,2,52.49089499999999,13.45095600000002
KIEFHOLZSTR. / BAUMSCHULENSTR.,1,52.465563,13.487082999999984
KÖPENICKER LANDSTR.,2,52.478531,13.477846999999997
PUSCHKINALLEE,1,52.4922473,13.461065100000042
SCHNELLERSTR.,2,52.4573112,13.508757500000002
SCHÖNEFELDER CHAUSSEE,1,52.4103991,13.527335999999991
STERNDAMM,2,52.4490187,13.50767780000001
ADLERGESTELL,2,52.447488,13.523234900000034
ADLERGESTELL / DÖRPFELDSTR. / RUDOWER CHAUSSEE,3,52.4303484,13.531285199999957
ALT-TREPTOW / BULGARISCHE STR. / NEUE KRUGALLEE,1,52.4757454,13.487369400000034
AM TREPTOWER PARK / MATTHESSTR.,3,52.4916602,13.450359100000014
ELSENSTR. / BEERMANNSTR.,1,52.4898022,13.457294600000068
JOHANNISTHALER CHAUSSEE,1,52.4487567,13.485367399999973
ORTOLFSTR.,1,52.4090013,13.534328899999991
WASSERMANNSTR. / RADICKESTR.,1,52.436035,13.549306999999999
WILDENBRUCHSTR. / KARL-KUNGER-STR.,1,52.49061,13.44870000000003
ELSENSTR.,1,52.49054,13.455510000000004
MICHAEL-BRÜCKNER-STR. / HASSELWERDERSTR.,1,52.4558239,13.51629980000007
RICHTERSTR. / BRUNO-TAUT-STR.,1,52.4118048,13.569812400000046
KARL-KUNGER-STR. / PLESSER STR.,1,52.4892456,13.45213990000002
SPÄTHSTR. / BAUMSCHULENSTR. / KÖNIGSHEIDEWEG,1,52.4499262,13.492384099999981
ELSENSTR. / KARL-KUNGER-STR.,1,52.49061,13.44870000000003
RUDOWER STR. / SCHNELLERSTR.,1,52.453094,13.523999000000003
SPREESTR.,1,52.4573447,13.51217470000006
BRITZER STR. / KÖLLNISCHE STR.,1,52.4916602,13.450359100000014
KIEFHOLZSTR. / RIXDORFER STR. / SÜDOSTALLEE,1,52.4580721,13.495316900000034
BACHSTR.,1,52.39617819999999,13.586253299999953
AM FALKENBERG / BRUNO-TAUT-STR.,1,52.4118048,13.569812400000046
WEGEDORNSTR.,1,52.415348,13.531398999999965
BRUNO-BÜRGEL-WEG,1,52.4532856,13.542176400000017
PFARRWÖHRDE / RUDOWER STR.,1,52.4515672,13.523294999999962
BIRNENWEG / ORTOLFSTR. / VENUSSTR.,1,52.4073088,13.529184999999984
ECKSTEINWEG / STERNDAMM,2,52.4490187,13.50767780000001
ELSENSTR. / AN DEN TREPTOWERS / MARTIN-HOFFMANN-STR.,1,52.49487999999999,13.457830000000058
GRÜNBERGALLEE,1,52.3996708,13.545640899999967
PARCHWITZER STR. / WALTERSDORFER STR.,1,52.394378,13.573380000000043
BOUCHÉSTR. / AM TREPTOWER PARK / PUSCHKINALLEE,1,52.48613940000001,13.471957699999962
FENNSTR. / SCHNELLERSTR.,1,52.4573112,13.508757500000002
GROß-BERLINER DAMM / LANDFLIEGERSTR. / SEGELFLIEGERDAMM,1,52.4453092,13.511976199999935
HEIDEKAMPWEG / SCHRADERSTR.,1,52.4625255,13.48142699999994
RODENKIRCHENER STR. / PORZER STR.,1,52.4053177,13.544533499999943
AM TREPTOWER PARK / HANS-THOMA-STR.,1,52.4916602,13.450359100000014
ELSTERSTR. / KRUMME STR. / WALTERSDORFER STR.,1,52.3973618,13.574700000000007
GRÜNDERSTR.,1,52.4085786,13.57532219999996
NIBELUNGENWEG,1,52.4078786,13.52381319999995
VOR DEM SCHLESISCHEN TOR / OBERE FREIARCHENBRÜCKE / PUSCHKINALLEE 
/ AM FLUTGRABE,1,52.4916602,13.450359100000014
AM WIESENWEG / BRUNO-TAUT-STR.,1,52.4118048,13.569812400000046
KIEFHOLZSTR. / KIEFHOLZSTR.,1,52.49089499999999,13.45095600000002
KÖPENICKER LANDSTR. / KÖPENICKER LANDSTR.,1,52.47410499999999,13.483882999999992
NIPKOWSTR. / OTTO-FRANKE-STR.,1,52.4339521,13.553148599999986
BOHNSDORFER WEG / EWALDSTR.,1,52.4047984,13.551642000000015
SELCHOWSTR. / WASSERMANNSTR.,1,52.4386815,13.553172399999994
