Location,Number,Latitude,Longitude
AMRUMER STR. / FÖHRER STR. / LUXEMBURGER STR. / TORFSTR.,2,52.5398959,13.352547400000049
ANTONSTR.,1,52.5470037,13.363619400000061
BARFUSSTR. / MÜLLERSTR. / TRANSVAALSTR.,2,52.5514248,13.341095600000017
GERICHTSTR. / REINICKENDORFER STR.,2,52.54896,13.36833999999999
GOTTSCHEDSTR. / REINICKENDORFER STR.,1,52.54896,13.36833999999999
LUXEMBURGER STR.,1,52.54443999999999,13.356420000000071
MARKSTR. / REGINHARDSTR. / UNGARNSTR. / LOUISE-SCHROEDER-PLATZ,1,52.5571176,13.365451500000063
MÜLLERSTR.,6,52.54984,13.351999999999975
MÜLLERSTR. / NAZARETHKIRCHSTR.,2,52.54884,13.360490000000027
MÜLLERSTR. / SEESTR.,11,52.545386,13.343094000000065
NAZARETHKIRCHSTR.,1,52.54884,13.360490000000027
OSLOER STR. / REINICKENDORFER STR. / SEESTR. / LOUISE-SCHROEDER-PLATZ,2,52.5571176,13.365451500000063
PLANTAGENSTR. / REINICKENDORFER STR.,1,52.54896,13.36833999999999
REINICKENDORFER STR.,1,52.54896,13.36833999999999
REINICKENDORFER STR. / NETTELBECKPLATZ,1,52.5560732,13.338931000000002
SCHULSTR.,1,52.55135,13.366499999999974
SEESTR.,1,52.545386,13.343094000000065
TOGOSTR.,1,52.55369,13.339339999999993
ANTONSTR. / MÜLLERSTR.,1,52.54984,13.351999999999975
ANTWERPENER STR. / SEESTR. / TOGOSTR.,1,52.55369,13.339339999999993
BRÜSSELER STR. / GENTER STR.,1,52.54674,13.35441000000003
DOHNAGESTELL,1,52.54404,13.33328419999998
FENNSTR. / REINICKENDORFER STR. / SCHÖNWALDER STR.,1,52.5419,13.372610000000009
TRANSVAALSTR.,2,52.5514248,13.341095600000017
TRIFTSTR. / WILLDENOWSTR.,1,52.54301,13.361980000000017
GENTER STR. / LÜDERITZSTR. / SEESTR.,2,52.545386,13.343094000000065
LUXEMBURGER STR. / MÜLLERSTR. / SCHULSTR.,2,52.55135,13.366499999999974
NAZARETHKIRCHSTR. / TURINER STR.,1,52.55009,13.35739000000001
OSTENDER STR.,1,52.546138,13.351454099999955
TEGELER STR.,2,52.54096,13.358759999999961
SCHÖNINGSTR.,1,52.55678,13.343629999999962
UNGARNSTR.,1,52.55569,13.357240000000047
UTRECHTER STR.,1,52.55006179999999,13.358341300000006
DOHNAGESTELL / SEESTR.,1,52.545386,13.343094000000065
LIEBENWALDER STR.,1,52.5520012,13.362399800000048
TURINER STR.,1,52.55009,13.35739000000001
EDINBURGER STR.,1,52.55624,13.34735999999998
TOGOSTR. / TRANSVAALSTR.,1,52.5514248,13.341095600000017
AMRUMER STR. / OSTENDER STR.,1,52.546138,13.351454099999955
RUHEPLATZSTR. / SCHULSTR. / TURINER STR. / LEOPOLDPLATZ,1,52.5473716,13.360052999999994
AMSTERDAMER STR. / BRÜSSELER STR. / MÜLLERSTR.,2,52.54984,13.351999999999975
BRÜSSELER STR.,1,52.54708,13.34967000000006
INDISCHE STR. / UNGARNSTR.,1,52.55569,13.357240000000047
SCHILLERPARK,1,52.5566384,13.351788499999998
AM FESTPLATZ,1,52.552074,13.304386199999954
RAVENÉSTR. / REINICKENDORFER STR.,1,52.54896,13.36833999999999
BADSTR.,2,52.5519694,13.38283530000001
BADSTR. / BÖTTGERSTR. / BEHMSTR.,3,52.5501501,13.391850900000009
BADSTR. / PANKSTR. / PRINZENALLEE,1,52.55631,13.384990000000016
BEHMSTR.,1,52.5501501,13.391850900000009
BERNAUER STR.,3,52.57562369999999,13.285247099999992
BERNAUER STR. / WOLLINER STR.,1,52.5411501,13.400353999999993
BRUNNENSTR.,4,52.54334,13.392560000000003
BRUNNENSTR. / BERNAUER STR.,2,52.57562369999999,13.285247099999992
CHAUSSEESTR.,1,52.53879,13.372650000000021
DRONTHEIMER STR.,2,52.55860999999999,13.375949999999989
DRONTHEIMER STR. / KOLONIESTR. / OSLOER STR.,1,52.5559684,13.378885800000035
FREIENWALDER STR. / OSLOER STR. / STETTINER STR.,1,52.5534678,13.386770399999932
GOTTSCHALKSTR. / WOLLANKSTR.,1,52.56271,13.390589999999975
KATTEGATSTR. / WOLLANKSTR.,1,52.56271,13.390589999999975
KOLONIESTR.,2,52.56082,13.381629999999973
NORDBAHNSTR. / WOLLANKSTR.,3,52.56271,13.390589999999975
OSLOER STR. / PRINZENALLEE,1,52.555936,13.38366300000007
PANKSTR.,1,52.5483268,13.375479199999972
PRINZENALLEE,2,52.55631,13.384990000000016
RÜGENER STR.,2,52.5452616,13.393310700000029
SCHWEDENSTR. / TROMSÖER STR.,1,52.5560732,13.338931000000002
WOLLANKSTR.,1,52.56271,13.390589999999975
ACKERSTR.,1,52.53808,13.385539999999992
EXERZIERSTR.,1,52.55415,13.374369999999999
GRÜNTALER STR.,1,52.5544962,13.390763800000059
HANSASTR. / RESIDENZSTR.,1,52.5656706,13.363425099999972
MÜLLERSTR. / SCHULZENDORFER STR. / SELLERSTR.,2,52.5384293,13.367746600000032
OSLOER STR.,1,52.5559684,13.378885800000035
PANKSTR. / WIESENSTR.,2,52.5466061,13.3755089
PRINZENALLEE / SOLDINER STR.,2,52.558656,13.386241000000041
SCHWEDENSTR.,1,52.5559534,13.37421560000007
SOLDINER STR.,1,52.55882,13.385319999999979
WIESENSTR.,2,52.5466061,13.3755089
