Location,Number,Latitude,Longitude
AM STEINBERG,1,52.5591,13.436680000000024
BAHNHOFSTR.,1,52.59117510000001,13.441586400000006
BERLINER ALLEE,5,52.55874,13.46560999999997
BERLINER STR.,2,52.5985862,13.433330599999977
BUSCHALLEE / SULZFELDER STR.,1,52.5528,13.47488999999996
CHARLOTTENBURGER STR.,1,52.55312,13.443269999999984
GREIFSWALDER STR. / GÜRTELSTR. / LEHDERSTR. / BERLINER ALLEE,1,52.55874,13.46560999999997
LANGHANSSTR.,1,52.5518,13.440069999999992
MAHLERSTR. / TASSOSTR. / BERLINER ALLEE,1,52.55874,13.46560999999997
RENNBAHNSTR.,2,52.5610003,13.457190399999945
ROMAIN-ROLLAND-STR.,1,52.571744,13.437585200000058
ACHILLESSTR.,1,52.6164251,13.491777899999988
ACHILLESSTR. / BUCHER CHAUSSEE,1,52.5528668,13.46131790000004
ALBERTINENSTR. / PISTORIUSSTR. / BERLINER ALLEE,1,52.55874,13.46560999999997
BLANKENBURGER CHAUSSEE,1,52.6004187,13.46962540000004
INDIRA-GANDHI-STR.,1,52.54793,13.466519999999946
PISTORIUSSTR. / ROELCKESTR.,1,52.55780129999999,13.452290700000049
BAHNHOFSTR. / HEINERSDORFER STR. / KRUGSTEGE,1,52.5923546,13.45349740000006
BAHNHOFSTR. / RUDELSBURGSTR.,1,52.5966754,13.448918899999967
BIZETSTR.,1,52.5484897,13.457609000000048
BAHNHOFSTR. / HUBERTUSDAMM,1,52.61775009999999,13.47383519999994
ALBERTINENSTR.,1,52.5522337,13.459349999999972
BIZETSTR. / INDIRA-GANDHI-STR.,1,52.54793,13.466519999999946
GARTENSTR. / INDIRA-GANDHI-STR.,1,52.54793,13.466519999999946
STRÖMANNSTR. / STRAßE 72 / STRAßE 73,1,52.5393335,13.399318799999946
LINDENALLEE,1,52.5493234,13.463052199999993
PFANNSCHMIDTSTR.,1,52.5528668,13.46131790000004
CHARLOTTENBURGER STR. / ROELCKESTR.,1,52.55780129999999,13.452290700000049
SMETANASTR.,1,52.5474031,13.459774700000025
FRIEDA-SEIDLITZ-STR. / PISTORIUSSTR.,1,52.5538,13.445699999999988
PARKSTR. / PARKSTR.,1,52.55441039999999,13.457989999999995
BLANKENBURGER STR.,1,52.58406979999999,13.417663100000027
PISTORIUSSTR. / TASSOSTR.,1,52.55015,13.452729999999974
ZUR RINGALLEE,1,52.5659559,13.455408799999987
GRÜNER HERING / CHARLOTTENBURGER STR. / TASSOSTR.,1,52.55015,13.452729999999974
AM STEINBERG / GÄBLERSTR. / STRAßE 54,1,52.5650445,13.442768900000033
HERBERT-BAUM-STR.,1,52.54732,13.457049999999981
MIRBACHPLATZ / PISTORIUSSTR.,1,52.5538,13.445699999999988
