Location,Number,Latitude,Longitude
HOHENZOLLERNDAMM / RHEINBABENALLEE / TEPLITZER STR.,2,52.47986849999999,13.280991500000027
BERKAER STR. / HUBERTUSALLEE / HUBERTUSBADER STR. / TEPLITZER STR.,1,52.47986849999999,13.280991500000027
HUBERTUSALLEE / KOENIGSALLEE,2,52.4837833,13.266539500000022
HALENSEESTR. / WERKSTÄTTENWEG,1,52.4960166,13.277915500000063
WALDMEISTERSTR.,1,52.4751286,13.27541450000001
BRANDENBURGISCHE STR. / PAULSBORNER STR. / XANTENER STR.,1,52.49918,13.310063000000014
KURFÜRSTENDAMM,5,52.498713,13.294953999999962
PAULSBORNER STR.,1,52.49581,13.301879999999983
KURFÜRSTENDAMM / HENRIETTENPLATZ,1,52.4926939,13.323291299999937
KARLSRUHER STR.,1,52.4998981,13.294644800000015
JOACHIM-FRIEDRICH-STR. / KURFÜRSTENDAMM / AGATHE-LASCH-PLATZ,1,52.4926939,13.323291299999937
BARSTR. / FEHRBELLINER PLATZ,1,52.49005,13.315049999999928
BERLINER STR. / PRINZREGENTENSTR.,1,52.4856715,13.333438099999967
BLISSESTR.,1,52.48220999999999,13.320086899999978
BRANDENBURGISCHE STR. / DÜSSELDORFER STR. / PADERBORNER STR. / 
TUNNEL AM ADENAUE,2,52.4926939,13.323291299999937
BRANDENBURGISCHE STR. / KONSTANZER STR.,2,52.4941622,13.310356400000046
BUNDESALLEE / DETMOLDER STR. / WEXSTR. / BUNDESPLATZ,1,52.47905,13.328219999999988
DETMOLDER STR. / MECKLENBURGISCHE STR. / RUDOLSTÄDTER STR.,1,52.4926939,13.323291299999937
DETMOLDER STR. / WEIMARISCHE STR.,1,52.47973,13.323910000000069
GÜNTZELSTR. / LANDHAUSSTR.,1,52.48934999999999,13.328769999999963
HOHENZOLLERNDAMM / UHLANDSTR.,1,52.48913,13.323170000000005
LAUBACHER STR.,1,52.47217999999999,13.319690000000037
MECKLENBURGISCHE STR.,2,52.47866490000001,13.310023799999954
SÜDWESTKORSO,1,52.47131,13.31833000000006
UHLANDSTR.,2,52.48913,13.323170000000005
BERLINER STR. / UHLANDSTR.,1,52.48913,13.323170000000005
BLISSESTR. / DETMOLDER STR.,2,52.47911800000001,13.320326000000023
DÜSSELDORFER STR. / UHLANDSTR.,1,52.48913,13.323170000000005
FORCKENBECKSTR. / MECKLENBURGISCHE STR. / HEIDELBERGER PLATZ,1,52.4785476,13.311826200000041
PRINZREGENTENSTR. / WEXSTR.,1,52.47855,13.332302199999958
BADENSCHE STR. / PRINZREGENTENSTR.,1,52.4856715,13.333438099999967
BERLINER STR.,3,52.4876198,13.30821979999996
BREITE STR. / CUNOSTR. / KIRCHSTR.,1,52.5235607,13.349169500000016
HOHENZOLLERNDAMM / RUDOLSTÄDTER STR. / SEESENER STR.,1,52.4927673,13.295882699999993
BERLINER STR. / BUNDESALLEE,1,52.48863,13.330479999999966
FECHNERSTR. / GASTEINER STR. / UHLANDSTR.,1,52.48913,13.323170000000005
GEISENHEIMER STR. / RÜDESHEIMER STR. / WIESBADENER STR.,1,52.47251,13.310389999999984
SPICHERNSTR.,1,52.49749000000001,13.332369999999969
MECKLENBURGISCHE STR. / HEIDELBERGER PLATZ,1,52.4785476,13.311826200000041
NESTORSTR.,1,52.49494,13.299309999999991
BERLINER STR. / BLISSESTR. / BRANDENBURGISCHE STR.,1,52.49248,13.310910000000035
BAMBERGER STR. / BERLINER STR. / GRUNEWALDSTR. / KUFSTEINER STR.,1,52.4833266,13.33702679999999
HOHENZOLLERNDAMM / A 100 BAB / HOHENZOLLERNDAMMBRÜCKE / 100 AS 
HOHENZOLLERNDAMM,1,52.49126,13.31592999999998
CICEROSTR. / SEESENER STR.,1,52.4927673,13.295882699999993
BERKAER STR. / EGERSTR. / HOHENZOLLERNDAMM / ELSTERPLATZ,2,52.4926939,13.323291299999937
BERKAER STR. / BREITE STR. / FRIEDRICHSHALLER STR. / HUNDEKEHLESTR. / 
WARNEMÜNDE,1,52.4926939,13.323291299999937
KREUZNACHER STR.,1,52.46736,13.316509999999994
RÜDESHEIMER STR.,1,52.47113,13.313120000000026
GEISBERGSTR. / NÜRNBERGER STR. / SCHAPERSTR. / SPICHERNSTR. / 
NÜRNBERGER PLATZ,2,52.4926939,13.323291299999937
BLISSESTR. / MECKLENBURGISCHE STR. / UHLANDSTR.,1,52.48913,13.323170000000005
GÜNTZELSTR. / PFALZBURGER STR.,1,52.49424,13.321709999999939
MECKLENBURGISCHE STR. / A 100 BAB / 100 AS SCHMARGENDORF AUSF N 
MECKLENBURGI WES,1,52.4926939,13.323291299999937
WILHELMSAUE,1,52.4852893,13.323178999999982
BERKAER STR. / KARLSBADER STR.,1,52.481435,13.2825646
DILLENBURGER STR. / LENTZEALLEE / SCHLANGENBADER STR. / A 100 BAB / 
EHEMALS 100,1,52.4926939,13.323291299999937
HOHENZOLLERNDAMM,3,52.49126,13.31592999999998
BRIENNER STR. / HOHENZOLLERNDAMM / RUHRSTR.,1,52.49051,13.309200000000033
AACHENER STR. / MECKLENBURGISCHE STR.,1,52.47866490000001,13.310023799999954
BLISSESTR. / WILHELMSAUE,1,52.4852893,13.323178999999982
BRABANTER STR. / MECKLENBURGISCHE STR.,1,52.47866490000001,13.310023799999954
