Location,Number,Latitude,Longitude
ARGENTINISCHE ALLEE,3,52.44721,13.246449999999982
BACHSTELZENWEG / IM GEHEGE / KÖNIGIN-LUISE-STR.,1,52.4580294,13.29192809999995
BERLINER STR. / CLAYALLEE / POTSDAMER STR. / TELTOWER DAMM,1,52.42006,13.263959999999997
BISMARCKSTR. / GIMPELSTEIG / MACHNOWER STR.,1,52.42454,13.252340000000004
CLAYALLEE,1,52.45249,13.270890000000009
KÖNIGSTR.,2,52.43347,13.25139999999999
KRONPRINZESSINNENWEG,2,52.4485627,13.209679400000027
LAEHRSTR. / TELTOWER DAMM,1,52.42006,13.263959999999997
TELTOWER DAMM,8,52.42006,13.263959999999997
ARGENTINISCHE ALLEE / POßWEG,1,52.4426068,13.244607299999984
GARTENSTR. / TELTOWER DAMM,1,52.42006,13.263959999999997
MÜHLENSTR. / SCHÖNOWER STR. / TELTOWER DAMM,2,52.42006,13.263959999999997
FISCHERHÜTTENSTR.,1,52.44157999999999,13.243089999999938
DREILINDENSTR.,1,52.4207523,13.187064100000043
HAVELCHAUSSEE,1,52.46934049999999,13.199873400000001
POTSDAMER CHAUSSEE,1,52.43207,13.233159999999998
KÖNIGSTR. / KYLLMANNSTR.,1,52.4430094,13.30145809999999
BREISGAUER STR.,1,52.4362077,13.216636999999992
MACHNOWER STR. / SCHÖNOWER STR.,1,52.4339586,13.258908799999972
CLAYALLEE / HÜTTENWEG,1,52.4631203,13.260290199999986
CLAUERTSTR. / ROBERT-VON-OSTERTAG-STR.,1,52.4269,13.238200000000006
LINDENTHALER ALLEE / NIKLASSTR.,1,52.4334669,13.22871299999997
LUDWIGSFELDER STR.,1,52.42297000000001,13.244649999999979
SCHÄDESTR. / TELTOWER DAMM,1,52.42006,13.263959999999997
ANDRÉEZEILE,1,52.41267999999999,13.261690000000044
ARGENTINISCHE ALLEE / SVEN-HEDIN-STR.,2,52.44027999999999,13.242819999999938
TEUTONENSTR.,1,52.42755289999999,13.196735200000035
BACHSTELZENWEG,1,52.456713,13.28123149999999
ZUM HECKESHORN,1,52.43069329999999,13.161335399999984
PACELLIALLEE,1,52.4643532,13.287887599999976
ALTENSTEINSTR. / HABELSCHWERDTER ALLEE / LADENBERGSTR.,1,52.4463592,13.28918329999999
IM WINKEL / KÖNIGIN-LUISE-STR.,1,52.4580294,13.29192809999995
ARCHIVSTR. / BRÜMMERSTR. / KÖNIGIN-LUISE-STR. / KÖNIGIN-LUISE BRÜCKE,1,52.4339586,13.258908799999972
ARNIMALLEE / FABECKSTR.,1,52.4529088,13.293758099999991
BERLINER STR.,2,52.43891,13.271510000000035
BERLINER STR. / DAHLEMER WEG / THIELALLEE / UNTER DEN EICHEN,1,52.4473599,13.29802589999997
MÖRCHINGER STR.,1,52.4385209,13.276427900000044
SUNDGAUER STR.,1,52.43785,13.272320000000036
BERLINER STR. / WINFRIEDSTR.,2,52.43815,13.266949999999952
BEESKOWDAMM,1,52.40919,13.270199999999932
BOLCHENER STR.,1,52.4342623,13.278238699999974
