 Location,Number,Latitude,Longitude
ESCHENALLEE / LÄNDERALLEE / REICHSSTR.,1,52.5164525,13.261092700000063
HEERSTR.,2,52.5073571,13.24237119999998
KAISERDAMM,1,52.5102,13.28570000000002
KNOBELSDORFFSTR. / KÖNIGIN-ELISABETH-STR.,1,52.5462703,13.20156320000001
KÖNIGIN-ELISABETH-STR.,1,52.5141,13.281399999999962
MASURENALLEE,2,52.50827,13.277230000000031
MESSEDAMM,1,52.50555,13.280679999999961
POPITZWEG,1,52.5369605,13.275722500000029
REICHSSTR.,2,52.5164525,13.261092700000063
SPANDAUER DAMM,2,52.5229843,13.274166599999944
THEODOR-HEUSS-PLATZ,1,52.50976,13.271819999999934
WALDSCHULALLEE,1,52.5004092,13.263510999999994
AHORNALLEE / KAISERDAMM / THEODOR-HEUSS-PLATZ,1,52.50976,13.271819999999934
FÜRSTENBRUNNER WEG / KÖNIGIN-ELISABETH-STR. / SPANDAUER DAMM,1,52.5229843,13.274166599999944
KAISERDAMM / KÖNIGIN-ELISABETH-STR. / MESSEDAMM,1,52.50555,13.280679999999961
REICHSSTR. / STEUBENPLATZ,1,52.515755,13.261627900000008
FREDERICIASTR. / KÖNIGIN-ELISABETH-STR.,1,52.5462703,13.20156320000001
ESCHENALLEE / PLATANENALLEE,1,52.51385,13.270549999999957
HALENSEESTR.,1,52.50136999999999,13.281740000000013
KURT-SCHUMACHER-DAMM / HECKERDAMM / A 111 BAB 
AUTOBAHNZUBRINGER HAMBURG / WELTLI,1,52.5166023,13.304105400000026
HEERSTR. / KRANZALLEE / FLATOWALLEE,1,52.51006,13.24176
HEERSTR. / PREUßENALLEE,1,52.51264,13.258649999999989
LÄNDERALLEE,1,52.5109408,13.263075200000003
FREDERICIASTR. / STÜLPNAGELSTR.,1,52.5115665,13.283061699999962
KNOBELSDORFFSTR. / PLATANENALLEE / SOORSTR.,1,52.5133783,13.2773373
OLYMPISCHER PLATZ,1,52.51501,13.242729999999938
BISMARCKSTR.,2,52.51195,13.309060000000045
BISMARCKSTR. / KAISERDAMM / SCHLOßSTR. / SUAREZSTR.,1,52.50653,13.294359999999983
BISMARCKSTR. / KAISER-FRIEDRICH-STR.,1,52.511284,13.301597000000015
EISENZAHNSTR. / KURFÜRSTENDAMM / WAITZSTR.,1,52.50183999999999,13.305430000000001
KAISER-FRIEDRICH-STR. / KANTSTR.,3,52.506781,13.302495000000022
KAISER-FRIEDRICH-STR. / LEWISHAMSTR. / STUTTGARTER PLATZ,1,52.5053266,13.302417999999989
KAISER-FRIEDRICH-STR. / OTTO-SUHR-ALLEE / SPANDAUER DAMM / 
LUISENPLATZ,2,52.52048079999999,13.299526900000046
KANTSTR. / NEUE KANTSTR. / SUAREZSTR.,1,52.50653,13.294359999999983
KNOBELSDORFFSTR. / SOPHIE-CHARLOTTEN-STR.,2,52.5186776,13.286802299999977
KURFÜRSTENDAMM,1,52.5026976,13.327310399999988
MAX-DOHRN-STR.,1,52.5311163,13.30159219999996
NEUE KANTSTR.,1,52.50674050000001,13.288970100000029
OTTO-SUHR-ALLEE,3,52.5166,13.310349999999971
OTTO-SUHR-ALLEE / RICHARD-WAGNER-STR. / WINTERSTEINSTR. / RICHARD-
WAGNER-PLATZ,1,52.51476,13.306659999999965
PESTALOZZISTR.,1,52.50771,13.30840999999998
SCHILLERSTR. / WILMERSDORFER STR.,2,52.50937,13.30619999999999
SCHUSTEHRUSSTR.,1,52.5171994,13.30128860000002
SPANDAUER DAMM,1,52.5229843,13.274166599999944
WILMERSDORFER STR.,1,52.50937,13.30619999999999
BISMARCKSTR. / WILMERSDORFER STR.,1,52.50937,13.30619999999999
KNOBELSDORFFSTR.,1,52.51324,13.287029999999959
KRUMME STR.,1,52.51094,13.308769999999981
KURFÜRSTENDAMM / LEIBNIZSTR.,1,52.50767,13.313740000000053
SAATWINKLER DAMM,1,52.54672,13.311140000000023
SOPHIE-CHARLOTTEN-STR. / SPANDAUER DAMM,2,52.5229843,13.274166599999944
WINDSCHEIDSTR. / STUTTGARTER PLATZ,1,52.5053266,13.302417999999989
DANCKELMANNSTR. / KAISERDAMM / WITZLEBENPLATZ,1,52.50948,13.293149999999969
GAUßSTR. / OLBERSSTR. / LISE-MEITNER-STR.,1,52.53076000000001,13.306630000000041
KAISERDAMM / RIEHLSTR.,2,52.50919,13.285570000000007
KAISERIN-AUGUSTA-ALLEE / WERNIGERODER STR.,1,52.52483,13.311509999999998
LOHMEYERSTR. / OTTO-SUHR-ALLEE,1,52.5166,13.310349999999971
REICHWEINDAMM,1,52.53632,13.300809999999956
SCHILLERSTR.,1,52.51056519999999,13.310626700000057
ALBRECHT-ACHILLES-STR. / DAHLMANNSTR. / KURFÜRSTENDAMM,1,52.5026976,13.327310399999988
LEWISHAMSTR.,1,52.5019097,13.305721199999994
SCHLOßSTR. / SEELINGSTR. / OTTO-GRÜNEBERG-WEG,1,52.5157897,13.298131900000044
SPANDAUER DAMM / KLAUSENERPLATZ,2,52.5177881,13.291493400000036
WINTERSTEINSTR.,1,52.51894,13.30673999999999
NEHRINGSTR.,1,52.5152284,13.294094800000039
NORDHAUSER STR. / SÖMMERINGSTR.,1,52.5234996,13.305890200000022
BISMARCKSTR. / RICHARD-WAGNER-STR. / SESENHEIMER STR.,1,52.510344,13.307458900000029
ILSENBURGER STR. / KAISERIN-AUGUSTA-ALLEE,1,52.52611,13.310159999999996
KAISERDAMM / WUNDTSTR.,1,52.50953999999999,13.288999999999987
DERNBURGSTR.,1,52.50338000000001,13.286730000000034
SUAREZSTR. / WITZLEBENSTR.,1,52.50807,13.293630000000007
BRANDENBURGISCHE STR. / KURFÜRSTENDAMM / LEWISHAMSTR. / 
ADENAUERPLATZ,2,52.5166023,13.304105400000026
DANCKELMANNSTR.,1,52.51429,13.29072999999994
HAUBACHSTR. / RICHARD-WAGNER-STR.,1,52.51476,13.306659999999965
MIERENDORFFSTR.,1,52.52543,13.305060000000026
RIEDEMANNWEG,1,52.54569,13.31558999999993
STEIFENSANDSTR. / WITZLEBENSTR. / WITZLEBENPLATZ,1,52.50948,13.293149999999969
SYBELSTR. / WILMERSDORFER STR.,1,52.50937,13.30619999999999
TUNNEL AM ADENAUERPLATZ,1,52.4996728,13.307123400000023
BERNHARD-LICHTENBERG-STR. / WIERSICHWEG,1,52.53852,13.296249999999986
CHARLOTTENBURGER UFER / LUISENPLATZ / SCHLOßBRÜCKE / 
SCHLOßBRÜCKENSTEG,1,52.5166023,13.304105400000026
GOSLARER UFER / KAISERIN-AUGUSTA-ALLEE / KAISERIN-AUGUSTA-BRÜCKE,1,52.5166023,13.304105400000026
MIERENDORFFSTR. / MINDENER STR. / MIERENDORFFPLATZ,1,52.52543,13.305060000000026
SAATWINKLER DAMM / SEESTR. / A 100 BAB / GOERDELERDAMMBRÜCKE / 100 
AS BEUSSELSTR,1,52.53199590000001,13.328502800000024
DROYSENSTR.,1,52.5018149,13.30091809999999
RÜCKERTSTR. / SCHILLERSTR.,1,52.51056519999999,13.310626700000057
AM SCHILLERTHEATER / BISMARCKSTR. / MARIE-ELISABETH-LÜDERS-STR.,1,52.5166023,13.304105400000026
BACHSTR. / STRAßE DES 17. JUNI,1,52.51318999999999,13.329889999999978
BISMARCKSTR.,1,52.51195,13.309060000000045
BLEIBTREUSTR. / KANTSTR.,1,52.50604,13.314499999999953
BLEIBTREUSTR. / KURFÜRSTENDAMM,1,52.5026976,13.327310399999988
CAUERSTR. / LEIBNIZSTR. / OTTO-SUHR-ALLEE,1,52.5166,13.310349999999971
HARDENBERGPLATZ,4,52.50759,13.333200000000033
JOACHIMSTALER STR.,2,52.50304999999999,13.330730000000017
JOACHIMSTALER STR. / KANTSTR.,2,52.505351,13.330803999999944
KANTSTR.,1,52.50604,13.314499999999953
KANTSTR. / LEIBNIZSTR.,1,52.506294,13.313967999999932
KANTSTR. / SAVIGNYPLATZ,1,52.50607,13.323170000000005
KANTSTR. / SCHLÜTERSTR.,2,52.50505,13.31768999999997
KANTSTR. / UHLANDSTR.,2,52.505624,13.325731000000019
KNESEBECKSTR. / KURFÜRSTENDAMM,1,52.5018975,13.3212896
KURFÜRSTENDAMM,8,52.5026976,13.327310399999988
LEIBNIZSTR.,1,52.50767,13.313740000000053
LIETZENBURGER STR.,1,52.50043549999999,13.331574000000046
OTTO-SUHR-ALLEE / ERNST-REUTER-PLATZ,2,52.51235,13.320460000000026
